Region,FSM eligible (%),Not FSM eligible (%)
Bedfordshire and Hertfordshire,38.5644511,63.463037
"Berkshire, Buckinghamshire and Oxfordshire",37.802276,65.7373235
Cheshire,42.2885572,67.1944198
Cornwall and Isles of Scilly,41.4004914,63.4285714
Cumbria,36.0967185,62.120089
Derbyshire and Nottinghamshire,42.4555293,65.6718026
Devon,38.6335404,62.392121
Dorset and Somerset,37.571885,61.6004446
East Anglia,36.9744435,61.0905559
East Yorkshire and Northern Lincolnshire,46.5811966,65.7193159
Essex,41.8109453,67.0511186
"Gloucestershire, Wiltshire and Bath/Bristol area",35.5610818,63.924331
Greater Manchester,44.6372367,66.1014288
Hampshire and Isle of Wight,38.9664551,64.5499239
"Herefordshire, Worcestershire and Warwickshire",38.4353741,65.1356299
Inner London - East,58.05616,72.7303477
Inner London - West,57.4429555,76.8115942
Kent,38.8751443,65.6562117
Lancashire,41.9001919,64.610921
"Leicestershire, Rutland and Northamptonshire",42.7546628,63.6190787
Lincolnshire,38.490099,62.7441326
Merseyside,41.7557597,65.9419684
North Yorkshire,35.3497164,63.2113518
"Northumberland, and Tyne and Wear",46.2628409,68.8644689
Outer London - East and North East,51.9486081,70.7481163
Outer London - South,49.0960744,72.4943547
Outer London - West and North West,50.5033834,71.7245776
Shropshire and Staffordshire,43.7348424,64.4138714
South Yorkshire,41.0048622,64.7373968
"Surrey, East and West Sussex",37.0534195,65.4766575
Tees Valley and Durham,47.7815063,67.5898204
West Midlands,47.3734177,65.0469788
West Yorkshire,42.0647149,65.1632401
