Ethnicity,Percentage (%)
Asian - Bangladeshi,63
Asian - Chinese,71
Asian - Indian,60
Asian - Pakistani,53
Asian - Any other Asian,54
Black - Black African,58
Black - Black Caribbean,43
Black - Any other Black background,48
Mixed - White and Asian,52
Mixed - White and Black African,51
Mixed - White and Black Caribbean,41
Mixed - Any other Mixed background,50
White - White British,40
White - Gypsy or Roma,14
White - Irish,39
White - Traveller of Irish heritage,18
White - Any other White background,42
