Year,Lower level (below CSE grade 1) (%),"O level, GCSE and equivalent (%)",A level and equivalent (%),Further education (%),Degree and above (%)
2022,13.49331203,17.25678525,19.06485244,8.097271434,42.08777884
2021,13.49446683,12.95025862,23.4319325,8.649558855,41.47378319
2020,13.39511148,13.29931286,24.77807918,9.2729202,39.25457628
2019,15.91734066,13.72923742,25.05851598,9.29792575,35.99698019
2018,15.80367669,14.75727739,25.09353406,9.202751729,35.14276013
2017,15.84025866,14.73050085,25.39266322,9.961613785,34.07496349
2016,16.37665598,14.97941422,25.32756274,10.02694014,33.28942692
2015,16.89647376,15.8275429,25.32002286,10.33828923,31.61767124
2014,17.24051669,16.30403183,26.49267058,10.30994782,29.65283309
