"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","split_value"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2018/19",81,,,267725,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2017/18",81,,,275867,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2016/17",80,,,282436,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2015/16",79,,,280712,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2014/15",77,,,272125,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2013/14",72,,,257753,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2024/25",79,,,232507,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2023/24",79,,,238002,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2022/23",78,,,241678,"Percentage",,"Girls - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Girls","seb","Not eligible for free school meals",,,,,"2021/22",76,,,242375,"Percentage",,"Girls - Not eligible for free school meals"
