"ethnicity","value_2021_22","value_2024_25"
"Any other Asian",64,63
"Any other Black background",62,60
"Any other ethnic group",54,59
"Any other Mixed background",64,64
"Any other White background",57,63
"Bangladeshi",66,68
"Black African",64,66
"Black Caribbean",62,67
"Chinese",74,64
"Gypsy or Roma",36,41
"Indian",69,75
"Pakistani",61,66
"Traveller of Irish heritage",33,34
"White and Asian",61,64
"White and Black African",68,64
"White and Black Caribbean",60,61
"White British",55,57
"White Irish",45,48
