"Year","Percentage (%)"
"2024",16.107
"2023",16.187
"2022",15.086
"2021",14.233
"2020",13.933
"2019",13.105
"2018",12.445
"2017",12.145
"2016",11.976
"2015",10.934
"2014",9.313
