"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","split_value"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2024/25",24.8,,,90504,"Percentage",,"Boys - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2023/24",24.1,,,85478,"Percentage",,"Boys - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2022/23",23.6,,,81637,"Percentage",,"Boys - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2021/22",27.4,,,78887,"Percentage",,"Boys - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2020/21",28.4,,,77284,"Percentage",,"Boys - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2019/20",26.7,,,73930,"Percentage",,"Boys - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2024/25",51.5,,,230194,"Percentage",,"Boys - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2023/24",50.7,,,236473,"Percentage",,"Boys - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2022/23",50.2,,,228974,"Percentage",,"Boys - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2021/22",54,,,221630,"Percentage",,"Boys - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2020/21",55.3,,,216365,"Percentage",,"Boys - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2019/20",52.6,,,212658,"Percentage",,"Boys - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2024/25",26.9,,,85722,"Percentage",,"Girls - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2023/24",27.7,,,81095,"Percentage",,"Girls - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2022/23",26.9,,,77726,"Percentage",,"Girls - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2021/22",31.9,,,75962,"Percentage",,"Girls - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2020/21",35.1,,,74689,"Percentage",,"Girls - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2019/20",34.2,,,72284,"Percentage",,"Girls - Disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2024/25",54.9,,,219228,"Percentage",,"Girls - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2023/24",55.7,,,226161,"Percentage",,"Girls - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2022/23",54.8,,,218578,"Percentage",,"Girls - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2021/22",60.1,,,211181,"Percentage",,"Girls - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2020/21",63.3,,,207525,"Percentage",,"Girls - Not known to be disadvantaged"
"in13","Attainment at age 16","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2019/20",61.1,,,203122,"Percentage",,"Girls - Not known to be disadvantaged"
