"School year","Disadvantaged (%)","Not known to be disadvantaged (%)","Total (%)"
"2024/25",25.8,53.1,45.4
"2023/24",25.8,53.1,45.9
"2022/23",25.2,52.4,45.3
"2021/22",29.6,57,49.8
"2020/21",31.7,59.2,51.9
"2019/20",30.4,56.8,49.9
"2018/19",24.7,49.9,43.2
