provider,decile,cumulative_percentage,group,location_no,location_yes
The University of Sussex,5,32,enrolment,1,1
The University of Sussex,6,45,enrolment,1,1
The University of Sussex,7,56,enrolment,1,1
The University of Sussex,8,69,enrolment,1,1
The University of Sussex,9,83,enrolment,1,1
The University of Sussex,10,100,enrolment,1,1
Oxford Brookes University,0,0,enrolment,1,1
Oxford Brookes University,1,2,enrolment,1,1
Oxford Brookes University,2,5,enrolment,1,1
Oxford Brookes University,3,9,enrolment,1,1
Oxford Brookes University,4,14,enrolment,1,1
Oxford Brookes University,5,20,enrolment,1,1
Oxford Brookes University,6,28,enrolment,1,1
Oxford Brookes University,7,38,enrolment,1,1
Oxford Brookes University,8,49,enrolment,1,1
Oxford Brookes University,9,62,enrolment,1,1
Oxford Brookes University,10,100,enrolment,1,1
The University of Winchester,0,0,enrolment,1,1
The University of Winchester,1,2,enrolment,1,1
The University of Winchester,2,6,enrolment,1,1
The University of Winchester,3,12,enrolment,1,1
The University of Winchester,4,19,enrolment,1,1
The University of Winchester,5,30,enrolment,1,1
The University of Winchester,6,43,enrolment,1,1
The University of Winchester,7,57,enrolment,1,1
The University of Winchester,8,72,enrolment,1,1
The University of Winchester,9,89,enrolment,1,1
The University of Winchester,10,100,enrolment,1,1
The Manchester Metropolitan University,0,0,enrolment,1,1
The Manchester Metropolitan University,1,8,enrolment,1,1
The Manchester Metropolitan University,2,17,enrolment,1,1
The Manchester Metropolitan University,3,27,enrolment,1,1
The Manchester Metropolitan University,4,39,enrolment,1,1
The Manchester Metropolitan University,5,48,enrolment,1,1
The Manchester Metropolitan University,6,57,enrolment,1,1
The Manchester Metropolitan University,7,67,enrolment,1,1
The Manchester Metropolitan University,8,78,enrolment,1,1
The Manchester Metropolitan University,9,90,enrolment,1,1
The Manchester Metropolitan University,10,100,enrolment,1,1
University of Plymouth,0,0,enrolment,1,1
University of Plymouth,1,3,enrolment,1,1
University of Plymouth,2,8,enrolment,1,1
University of Plymouth,3,15,enrolment,1,1
University of Plymouth,4,22,enrolment,1,1
University of Plymouth,5,33,enrolment,1,1
University of Plymouth,6,48,enrolment,1,1
University of Plymouth,7,64,enrolment,1,1
University of Plymouth,8,78,enrolment,1,1
University of Plymouth,9,90,enrolment,1,1
University of Plymouth,10,100,enrolment,1,1
The University of Exeter,0,0,enrolment,1,1
The University of Exeter,1,1,enrolment,1,1
The University of Exeter,2,3,enrolment,1,1
The University of Exeter,3,6,enrolment,1,1
The University of Exeter,4,10,enrolment,1,1
The University of Exeter,5,16,enrolment,1,1
The University of Exeter,6,25,enrolment,1,1
The University of Exeter,7,35,enrolment,1,1
The University of Exeter,8,47,enrolment,1,1
The University of Exeter,9,60,enrolment,1,1
The University of Exeter,10,100,enrolment,1,1
The University of Lincoln,0,0,enrolment,1,1
The University of Lincoln,1,3,enrolment,1,1
The University of Lincoln,2,7,enrolment,1,1
The University of Lincoln,3,14,enrolment,1,1
The University of Lincoln,4,23,enrolment,1,1
The University of Lincoln,5,34,enrolment,1,1
The University of Lincoln,6,48,enrolment,1,1
The University of Lincoln,7,63,enrolment,1,1
The University of Lincoln,8,78,enrolment,1,1
The University of Lincoln,9,94,enrolment,1,1
The University of Lincoln,10,100,enrolment,1,1
University of Nottingham,0,0,enrolment,1,1
University of Nottingham,1,2,enrolment,1,1
University of Nottingham,2,5,enrolment,1,1
University of Nottingham,3,10,enrolment,1,1
University of Nottingham,4,16,enrolment,1,1
University of Nottingham,5,24,enrolment,1,1
University of Nottingham,6,34,enrolment,1,1
University of Nottingham,7,44,enrolment,1,1
University of Nottingham,8,57,enrolment,1,1
University of Nottingham,9,72,enrolment,1,1
University of Nottingham,10,100,enrolment,1,1
Liverpool Hope University,0,0,enrolment,1,1
Liverpool Hope University,1,9,enrolment,1,1
Liverpool Hope University,2,18,enrolment,1,1
Liverpool Hope University,3,28,enrolment,1,1
Liverpool Hope University,4,38,enrolment,1,1
Liverpool Hope University,5,49,enrolment,1,1
Liverpool Hope University,6,58,enrolment,1,1
Liverpool Hope University,7,69,enrolment,1,1
Liverpool Hope University,8,82,enrolment,1,1
Liverpool Hope University,9,94,enrolment,1,1
Liverpool Hope University,10,100,enrolment,1,1
Buckinghamshire New University,0,0,enrolment,1,1
Buckinghamshire New University,1,6,enrolment,1,1
Buckinghamshire New University,2,15,enrolment,1,1
Buckinghamshire New University,3,25,enrolment,1,1
Buckinghamshire New University,4,35,enrolment,1,1
Buckinghamshire New University,5,47,enrolment,1,1
Buckinghamshire New University,6,59,enrolment,1,1
Buckinghamshire New University,7,69,enrolment,1,1
Buckinghamshire New University,8,82,enrolment,1,1
Buckinghamshire New University,9,93,enrolment,1,1
Buckinghamshire New University,10,100,enrolment,1,1
The University of Birmingham,0,0,enrolment,1,1
The University of Birmingham,1,4,enrolment,1,1
The University of Birmingham,2,8,enrolment,1,1
The University of Birmingham,3,14,enrolment,1,1
The University of Birmingham,4,20,enrolment,1,1
The University of Birmingham,5,27,enrolment,1,1
The University of Birmingham,6,35,enrolment,1,1
The University of Birmingham,7,45,enrolment,1,1
The University of Birmingham,8,57,enrolment,1,1
The University of Birmingham,9,72,enrolment,1,1
The University of Birmingham,10,100,enrolment,1,1
The University of Liverpool,0,0,enrolment,1,1
The University of Liverpool,1,3,enrolment,1,1
The University of Liverpool,2,6,enrolment,1,1
The University of Liverpool,3,12,enrolment,1,1
The University of Liverpool,4,18,enrolment,1,1
The University of Liverpool,5,26,enrolment,1,1
The University of Liverpool,6,36,enrolment,1,1
The University of Liverpool,7,47,enrolment,1,1
The University of Liverpool,8,61,enrolment,1,1
The University of Liverpool,9,80,enrolment,1,1
The University of Liverpool,10,100,enrolment,1,1
Solent University,0,0,enrolment,1,1
Solent University,1,4,enrolment,1,1
Solent University,2,9,enrolment,1,1
Solent University,3,17,enrolment,1,1
Solent University,4,25,enrolment,1,1
Solent University,5,37,enrolment,1,1
Solent University,6,50,enrolment,1,1
Solent University,7,64,enrolment,1,1
Solent University,8,78,enrolment,1,1
Solent University,9,91,enrolment,1,1
Solent University,10,100,enrolment,1,1
The University of Lancaster,0,0,enrolment,1,1
The University of Lancaster,1,2,enrolment,1,1
The University of Lancaster,2,5,enrolment,1,1
The University of Lancaster,3,10,enrolment,1,1
The University of Lancaster,4,17,enrolment,1,1
The University of Lancaster,5,26,enrolment,1,1
The University of Lancaster,6,35,enrolment,1,1
The University of Lancaster,7,47,enrolment,1,1
The University of Lancaster,8,62,enrolment,1,1
The University of Lancaster,9,83,enrolment,1,1
The University of Lancaster,10,100,enrolment,1,1
De Montfort University,0,0,enrolment,1,1
De Montfort University,1,7,enrolment,1,1
De Montfort University,2,17,enrolment,1,1
De Montfort University,3,28,enrolment,1,1
De Montfort University,4,42,enrolment,1,1
De Montfort University,5,53,enrolment,1,1
De Montfort University,6,63,enrolment,1,1
De Montfort University,7,73,enrolment,1,1
De Montfort University,8,83,enrolment,1,1
De Montfort University,9,94,enrolment,1,1
De Montfort University,10,100,enrolment,1,1
The University of Hull,0,0,enrolment,1,1
The University of Hull,1,6,enrolment,1,1
The University of Hull,2,14,enrolment,1,1
The University of Hull,3,23,enrolment,1,1
The University of Hull,4,32,enrolment,1,1
The University of Hull,5,41,enrolment,1,1
The University of Hull,6,51,enrolment,1,1
The University of Hull,7,63,enrolment,1,1
The University of Hull,8,77,enrolment,1,1
The University of Hull,9,90,enrolment,1,1
The University of Hull,10,100,enrolment,1,1
The University of West London,0,0,enrolment,1,1
The University of West London,1,13,enrolment,1,1
The University of West London,2,28,enrolment,1,1
The University of West London,3,43,enrolment,1,1
The University of West London,4,56,enrolment,1,1
The University of West London,5,68,enrolment,1,1
The University of West London,6,75,enrolment,1,1
The University of West London,7,82,enrolment,1,1
The University of West London,8,88,enrolment,1,1
The University of West London,9,93,enrolment,1,1
