provider,decile,cumulative_percentage,group,location_no,location_yes
Loughborough University,5,28,enrolment,1,1
Loughborough University,6,38,enrolment,1,1
Loughborough University,7,49,enrolment,1,1
Loughborough University,8,61,enrolment,1,1
Loughborough University,9,75,enrolment,1,1
Loughborough University,10,100,enrolment,1,1
Ravensbourne University London,0,0,enrolment,1,1
Ravensbourne University London,1,8,enrolment,1,1
Ravensbourne University London,2,18,enrolment,1,1
Ravensbourne University London,3,32,enrolment,1,1
Ravensbourne University London,4,44,enrolment,1,1
Ravensbourne University London,5,57,enrolment,1,1
Ravensbourne University London,6,65,enrolment,1,1
Ravensbourne University London,7,74,enrolment,1,1
Ravensbourne University London,8,82,enrolment,1,1
Ravensbourne University London,9,91,enrolment,1,1
Ravensbourne University London,10,100,enrolment,1,1
"St George's, University of London",0,0,enrolment,1,1
"St George's, University of London",1,8,enrolment,1,1
"St George's, University of London",2,18,enrolment,1,1
"St George's, University of London",3,28,enrolment,1,1
"St George's, University of London",4,42,enrolment,1,1
"St George's, University of London",5,52,enrolment,1,1
"St George's, University of London",6,61,enrolment,1,1
"St George's, University of London",7,66,enrolment,1,1
"St George's, University of London",8,73,enrolment,1,1
"St George's, University of London",9,80,enrolment,1,1
"St George's, University of London",10,100,enrolment,1,1
Leeds Arts University,0,0,enrolment,1,1
Leeds Arts University,1,4,enrolment,1,1
Leeds Arts University,2,8,enrolment,1,1
Leeds Arts University,3,13,enrolment,1,1
Leeds Arts University,4,19,enrolment,1,1
Leeds Arts University,5,29,enrolment,1,1
Leeds Arts University,6,39,enrolment,1,1
Leeds Arts University,7,52,enrolment,1,1
Leeds Arts University,8,68,enrolment,1,1
Leeds Arts University,9,83,enrolment,1,1
Leeds Arts University,10,100,enrolment,1,1
"Imperial College of Science, Technology and Medicine",0,0,equal,1,1
"Imperial College of Science, Technology and Medicine",1,10,equal,1,1
"Imperial College of Science, Technology and Medicine",2,20,equal,1,1
"Imperial College of Science, Technology and Medicine",3,30,equal,1,1
"Imperial College of Science, Technology and Medicine",4,40,equal,1,1
"Imperial College of Science, Technology and Medicine",5,50,equal,1,1
"Imperial College of Science, Technology and Medicine",6,60,equal,1,1
"Imperial College of Science, Technology and Medicine",7,70,equal,1,1
"Imperial College of Science, Technology and Medicine",8,80,equal,1,1
"Imperial College of Science, Technology and Medicine",9,90,equal,1,1
"Imperial College of Science, Technology and Medicine",10,100,equal,1,1
University of Durham,0,0,equal,1,1
University of Durham,1,10,equal,1,1
University of Durham,2,20,equal,1,1
University of Durham,3,30,equal,1,1
University of Durham,4,40,equal,1,1
University of Durham,5,50,equal,1,1
University of Durham,6,60,equal,1,1
University of Durham,7,70,equal,1,1
University of Durham,8,80,equal,1,1
University of Durham,9,90,equal,1,1
University of Durham,10,100,equal,1,1
The University of Kent,0,0,equal,1,1
The University of Kent,1,10,equal,1,1
The University of Kent,2,20,equal,1,1
The University of Kent,3,30,equal,1,1
The University of Kent,4,40,equal,1,1
The University of Kent,5,50,equal,1,1
The University of Kent,6,60,equal,1,1
The University of Kent,7,70,equal,1,1
The University of Kent,8,80,equal,1,1
The University of Kent,9,90,equal,1,1
The University of Kent,10,100,equal,1,1
University of Manchester,0,0,equal,1,1
University of Manchester,1,10,equal,1,1
University of Manchester,2,20,equal,1,1
University of Manchester,3,30,equal,1,1
University of Manchester,4,40,equal,1,1
University of Manchester,5,50,equal,1,1
University of Manchester,6,60,equal,1,1
University of Manchester,7,70,equal,1,1
University of Manchester,8,80,equal,1,1
University of Manchester,9,90,equal,1,1
University of Manchester,10,100,equal,1,1
The University of Sussex,0,0,equal,1,1
The University of Sussex,1,10,equal,1,1
The University of Sussex,2,20,equal,1,1
The University of Sussex,3,30,equal,1,1
The University of Sussex,4,40,equal,1,1
The University of Sussex,5,50,equal,1,1
The University of Sussex,6,60,equal,1,1
The University of Sussex,7,70,equal,1,1
The University of Sussex,8,80,equal,1,1
The University of Sussex,9,90,equal,1,1
The University of Sussex,10,100,equal,1,1
Oxford Brookes University,0,0,equal,1,1
Oxford Brookes University,1,10,equal,1,1
Oxford Brookes University,2,20,equal,1,1
Oxford Brookes University,3,30,equal,1,1
Oxford Brookes University,4,40,equal,1,1
Oxford Brookes University,5,50,equal,1,1
Oxford Brookes University,6,60,equal,1,1
Oxford Brookes University,7,70,equal,1,1
Oxford Brookes University,8,80,equal,1,1
Oxford Brookes University,9,90,equal,1,1
Oxford Brookes University,10,100,equal,1,1
The University of Winchester,0,0,equal,1,1
The University of Winchester,1,10,equal,1,1
The University of Winchester,2,20,equal,1,1
The University of Winchester,3,30,equal,1,1
The University of Winchester,4,40,equal,1,1
The University of Winchester,5,50,equal,1,1
The University of Winchester,6,60,equal,1,1
The University of Winchester,7,70,equal,1,1
The University of Winchester,8,80,equal,1,1
The University of Winchester,9,90,equal,1,1
The University of Winchester,10,100,equal,1,1
The Manchester Metropolitan University,0,0,equal,1,1
The Manchester Metropolitan University,1,10,equal,1,1
The Manchester Metropolitan University,2,20,equal,1,1
The Manchester Metropolitan University,3,30,equal,1,1
The Manchester Metropolitan University,4,40,equal,1,1
The Manchester Metropolitan University,5,50,equal,1,1
The Manchester Metropolitan University,6,60,equal,1,1
The Manchester Metropolitan University,7,70,equal,1,1
The Manchester Metropolitan University,8,80,equal,1,1
The Manchester Metropolitan University,9,90,equal,1,1
The Manchester Metropolitan University,10,100,equal,1,1
University of Plymouth,0,0,equal,1,1
University of Plymouth,1,10,equal,1,1
University of Plymouth,2,20,equal,1,1
University of Plymouth,3,30,equal,1,1
University of Plymouth,4,40,equal,1,1
University of Plymouth,5,50,equal,1,1
University of Plymouth,6,60,equal,1,1
University of Plymouth,7,70,equal,1,1
University of Plymouth,8,80,equal,1,1
University of Plymouth,9,90,equal,1,1
University of Plymouth,10,100,equal,1,1
The University of Exeter,0,0,equal,1,1
The University of Exeter,1,10,equal,1,1
The University of Exeter,2,20,equal,1,1
The University of Exeter,3,30,equal,1,1
The University of Exeter,4,40,equal,1,1
The University of Exeter,5,50,equal,1,1
The University of Exeter,6,60,equal,1,1
The University of Exeter,7,70,equal,1,1
The University of Exeter,8,80,equal,1,1
The University of Exeter,9,90,equal,1,1
The University of Exeter,10,100,equal,1,1
The University of Lincoln,0,0,equal,1,1
The University of Lincoln,1,10,equal,1,1
The University of Lincoln,2,20,equal,1,1
The University of Lincoln,3,30,equal,1,1
The University of Lincoln,4,40,equal,1,1
The University of Lincoln,5,50,equal,1,1
The University of Lincoln,6,60,equal,1,1
The University of Lincoln,7,70,equal,1,1
The University of Lincoln,8,80,equal,1,1
The University of Lincoln,9,90,equal,1,1
The University of Lincoln,10,100,equal,1,1
University of Nottingham,0,0,equal,1,1
University of Nottingham,1,10,equal,1,1
University of Nottingham,2,20,equal,1,1
University of Nottingham,3,30,equal,1,1
University of Nottingham,4,40,equal,1,1
University of Nottingham,5,50,equal,1,1
University of Nottingham,6,60,equal,1,1
University of Nottingham,7,70,equal,1,1
University of Nottingham,8,80,equal,1,1
University of Nottingham,9,90,equal,1,1
University of Nottingham,10,100,equal,1,1
Liverpool Hope University,0,0,equal,1,1
Liverpool Hope University,1,10,equal,1,1
Liverpool Hope University,2,20,equal,1,1
Liverpool Hope University,3,30,equal,1,1
Liverpool Hope University,4,40,equal,1,1
Liverpool Hope University,5,50,equal,1,1
Liverpool Hope University,6,60,equal,1,1
Liverpool Hope University,7,70,equal,1,1
Liverpool Hope University,8,80,equal,1,1
Liverpool Hope University,9,90,equal,1,1
Liverpool Hope University,10,100,equal,1,1
Buckinghamshire New University,0,0,equal,1,1
Buckinghamshire New University,1,10,equal,1,1
Buckinghamshire New University,2,20,equal,1,1
Buckinghamshire New University,3,30,equal,1,1
Buckinghamshire New University,4,40,equal,1,1
Buckinghamshire New University,5,50,equal,1,1
Buckinghamshire New University,6,60,equal,1,1
Buckinghamshire New University,7,70,equal,1,1
Buckinghamshire New University,8,80,equal,1,1
Buckinghamshire New University,9,90,equal,1,1
Buckinghamshire New University,10,100,equal,1,1
The University of Birmingham,0,0,equal,1,1
The University of Birmingham,1,10,equal,1,1
The University of Birmingham,2,20,equal,1,1
The University of Birmingham,3,30,equal,1,1
The University of Birmingham,4,40,equal,1,1
The University of Birmingham,5,50,equal,1,1
The University of Birmingham,6,60,equal,1,1
The University of Birmingham,7,70,equal,1,1
The University of Birmingham,8,80,equal,1,1
The University of Birmingham,9,90,equal,1,1
The University of Birmingham,10,100,equal,1,1
The University of Liverpool,0,0,equal,1,1
The University of Liverpool,1,10,equal,1,1
The University of Liverpool,2,20,equal,1,1
The University of Liverpool,3,30,equal,1,1
The University of Liverpool,4,40,equal,1,1
The University of Liverpool,5,50,equal,1,1
The University of Liverpool,6,60,equal,1,1
The University of Liverpool,7,70,equal,1,1
The University of Liverpool,8,80,equal,1,1
The University of Liverpool,9,90,equal,1,1
The University of Liverpool,10,100,equal,1,1
Solent University,0,0,equal,1,1
Solent University,1,10,equal,1,1
Solent University,2,20,equal,1,1
Solent University,3,30,equal,1,1
Solent University,4,40,equal,1,1
Solent University,5,50,equal,1,1
Solent University,6,60,equal,1,1
Solent University,7,70,equal,1,1
Solent University,8,80,equal,1,1
Solent University,9,90,equal,1,1
Solent University,10,100,equal,1,1
The University of Lancaster,0,0,equal,1,1
The University of Lancaster,1,10,equal,1,1
The University of Lancaster,2,20,equal,1,1
The University of Lancaster,3,30,equal,1,1
The University of Lancaster,4,40,equal,1,1
The University of Lancaster,5,50,equal,1,1
The University of Lancaster,6,60,equal,1,1
The University of Lancaster,7,70,equal,1,1
The University of Lancaster,8,80,equal,1,1
The University of Lancaster,9,90,equal,1,1
The University of Lancaster,10,100,equal,1,1
De Montfort University,0,0,equal,1,1
De Montfort University,1,10,equal,1,1
De Montfort University,2,20,equal,1,1
De Montfort University,3,30,equal,1,1
De Montfort University,4,40,equal,1,1
De Montfort University,5,50,equal,1,1
De Montfort University,6,60,equal,1,1
De Montfort University,7,70,equal,1,1
De Montfort University,8,80,equal,1,1
De Montfort University,9,90,equal,1,1
De Montfort University,10,100,equal,1,1
The University of Hull,0,0,equal,1,1
The University of Hull,1,10,equal,1,1
The University of Hull,2,20,equal,1,1
The University of Hull,3,30,equal,1,1
The University of Hull,4,40,equal,1,1
The University of Hull,5,50,equal,1,1
The University of Hull,6,60,equal,1,1
The University of Hull,7,70,equal,1,1
The University of Hull,8,80,equal,1,1
The University of Hull,9,90,equal,1,1
The University of Hull,10,100,equal,1,1
The University of West London,0,0,equal,1,1
The University of West London,1,10,equal,1,1
The University of West London,2,20,equal,1,1
The University of West London,3,30,equal,1,1
The University of West London,4,40,equal,1,1
The University of West London,5,50,equal,1,1
The University of West London,6,60,equal,1,1
The University of West London,7,70,equal,1,1
The University of West London,8,80,equal,1,1
The University of West London,9,90,equal,1,1
The University of West London,10,100,equal,1,1
Leeds Beckett University,0,0,equal,1,1
Leeds Beckett University,1,10,equal,1,1
Leeds Beckett University,2,20,equal,1,1
Leeds Beckett University,3,30,equal,1,1
Leeds Beckett University,4,40,equal,1,1
Leeds Beckett University,5,50,equal,1,1
Leeds Beckett University,6,60,equal,1,1
Leeds Beckett University,7,70,equal,1,1
Leeds Beckett University,8,80,equal,1,1
Leeds Beckett University,9,90,equal,1,1
Leeds Beckett University,10,100,equal,1,1
The University of Huddersfield,0,0,equal,1,1
The University of Huddersfield,1,10,equal,1,1
The University of Huddersfield,2,20,equal,1,1
The University of Huddersfield,3,30,equal,1,1
The University of Huddersfield,4,40,equal,1,1
The University of Huddersfield,5,50,equal,1,1
The University of Huddersfield,6,60,equal,1,1
The University of Huddersfield,7,70,equal,1,1
The University of Huddersfield,8,80,equal,1,1
The University of Huddersfield,9,90,equal,1,1
The University of Huddersfield,10,100,equal,1,1
University of Hertfordshire,0,0,equal,1,1
University of Hertfordshire,1,10,equal,1,1
University of Hertfordshire,2,20,equal,1,1
University of Hertfordshire,3,30,equal,1,1
University of Hertfordshire,4,40,equal,1,1
University of Hertfordshire,5,50,equal,1,1
University of Hertfordshire,6,60,equal,1,1
University of Hertfordshire,7,70,equal,1,1
University of Hertfordshire,8,80,equal,1,1
University of Hertfordshire,9,90,equal,1,1
University of Hertfordshire,10,100,equal,1,1
Middlesex University,0,0,equal,1,1
Middlesex University,1,10,equal,1,1
Middlesex University,2,20,equal,1,1
Middlesex University,3,30,equal,1,1
Middlesex University,4,40,equal,1,1
Middlesex University,5,50,equal,1,1
Middlesex University,6,60,equal,1,1
Middlesex University,7,70,equal,1,1
Middlesex University,8,80,equal,1,1
Middlesex University,9,90,equal,1,1
Middlesex University,10,100,equal,1,1
The University of Reading,0,0,equal,1,1
The University of Reading,1,10,equal,1,1
The University of Reading,2,20,equal,1,1
The University of Reading,3,30,equal,1,1
The University of Reading,4,40,equal,1,1
The University of Reading,5,50,equal,1,1
The University of Reading,6,60,equal,1,1
The University of Reading,7,70,equal,1,1
The University of Reading,8,80,equal,1,1
The University of Reading,9,90,equal,1,1
The University of Reading,10,100,equal,1,1
Newcastle University,0,0,equal,1,1
Newcastle University,1,10,equal,1,1
Newcastle University,2,20,equal,1,1
Newcastle University,3,30,equal,1,1
Newcastle University,4,40,equal,1,1
Newcastle University,5,50,equal,1,1
Newcastle University,6,60,equal,1,1
Newcastle University,7,70,equal,1,1
Newcastle University,8,80,equal,1,1
Newcastle University,9,90,equal,1,1
Newcastle University,10,100,equal,1,1
The University of Bristol,0,0,equal,1,1
The University of Bristol,1,10,equal,1,1
The University of Bristol,2,20,equal,1,1
The University of Bristol,3,30,equal,1,1
The University of Bristol,4,40,equal,1,1
The University of Bristol,5,50,equal,1,1
The University of Bristol,6,60,equal,1,1
The University of Bristol,7,70,equal,1,1
The University of Bristol,8,80,equal,1,1
The University of Bristol,9,90,equal,1,1
The University of Bristol,10,100,equal,1,1
The University of Brighton,0,0,equal,1,1
The University of Brighton,1,10,equal,1,1
The University of Brighton,2,20,equal,1,1
The University of Brighton,3,30,equal,1,1
The University of Brighton,4,40,equal,1,1
The University of Brighton,5,50,equal,1,1
The University of Brighton,6,60,equal,1,1
The University of Brighton,7,70,equal,1,1
The University of Brighton,8,80,equal,1,1
The University of Brighton,9,90,equal,1,1
The University of Brighton,10,100,equal,1,1
The University of Sunderland,0,0,equal,1,1
The University of Sunderland,1,10,equal,1,1
The University of Sunderland,2,20,equal,1,1
The University of Sunderland,3,30,equal,1,1
The University of Sunderland,4,40,equal,1,1
The University of Sunderland,5,50,equal,1,1
The University of Sunderland,6,60,equal,1,1
The University of Sunderland,7,70,equal,1,1
The University of Sunderland,8,80,equal,1,1
The University of Sunderland,9,90,equal,1,1
The University of Sunderland,10,100,equal,1,1
Royal Holloway and Bedford New College,0,0,equal,1,1
Royal Holloway and Bedford New College,1,10,equal,1,1
Royal Holloway and Bedford New College,2,20,equal,1,1
Royal Holloway and Bedford New College,3,30,equal,1,1
Royal Holloway and Bedford New College,4,40,equal,1,1
Royal Holloway and Bedford New College,5,50,equal,1,1
Royal Holloway and Bedford New College,6,60,equal,1,1
Royal Holloway and Bedford New College,7,70,equal,1,1
Royal Holloway and Bedford New College,8,80,equal,1,1
Royal Holloway and Bedford New College,9,90,equal,1,1
Royal Holloway and Bedford New College,10,100,equal,1,1
The University of Essex,0,0,equal,1,1
The University of Essex,1,10,equal,1,1
The University of Essex,2,20,equal,1,1
The University of Essex,3,30,equal,1,1
The University of Essex,4,40,equal,1,1
The University of Essex,5,50,equal,1,1
The University of Essex,6,60,equal,1,1
The University of Essex,7,70,equal,1,1
The University of Essex,8,80,equal,1,1
The University of Essex,9,90,equal,1,1
The University of Essex,10,100,equal,1,1
University College London,0,0,equal,1,1
University College London,1,10,equal,1,1
University College London,2,20,equal,1,1
University College London,3,30,equal,1,1
University College London,4,40,equal,1,1
University College London,5,50,equal,1,1
University College London,6,60,equal,1,1
University College London,7,70,equal,1,1
University College London,8,80,equal,1,1
University College London,9,90,equal,1,1
University College London,10,100,equal,1,1
The University of Surrey,0,0,equal,1,1
The University of Surrey,1,10,equal,1,1
The University of Surrey,2,20,equal,1,1
The University of Surrey,3,30,equal,1,1
The University of Surrey,4,40,equal,1,1
The University of Surrey,5,50,equal,1,1
The University of Surrey,6,60,equal,1,1
The University of Surrey,7,70,equal,1,1
The University of Surrey,8,80,equal,1,1
The University of Surrey,9,90,equal,1,1
The University of Surrey,10,100,equal,1,1
The University of Oxford,0,0,equal,1,1
The University of Oxford,1,10,equal,1,1
The University of Oxford,2,20,equal,1,1
The University of Oxford,3,30,equal,1,1
The University of Oxford,4,40,equal,1,1
The University of Oxford,5,50,equal,1,1
The University of Oxford,6,60,equal,1,1
The University of Oxford,7,70,equal,1,1
The University of Oxford,8,80,equal,1,1
The University of Oxford,9,90,equal,1,1
The University of Oxford,10,100,equal,1,1
"University of the West of England, Bristol",0,0,equal,1,1
"University of the West of England, Bristol",1,10,equal,1,1
"University of the West of England, Bristol",2,20,equal,1,1
"University of the West of England, Bristol",3,30,equal,1,1
"University of the West of England, Bristol",4,40,equal,1,1
"University of the West of England, Bristol",5,50,equal,1,1
"University of the West of England, Bristol",6,60,equal,1,1
"University of the West of England, Bristol",7,70,equal,1,1
"University of the West of England, Bristol",8,80,equal,1,1
"University of the West of England, Bristol",9,90,equal,1,1
"University of the West of England, Bristol",10,100,equal,1,1
The University of East Anglia,0,0,equal,1,1
The University of East Anglia,1,10,equal,1,1
The University of East Anglia,2,20,equal,1,1
The University of East Anglia,3,30,equal,1,1
The University of East Anglia,4,40,equal,1,1
The University of East Anglia,5,50,equal,1,1
The University of East Anglia,6,60,equal,1,1
The University of East Anglia,7,70,equal,1,1
The University of East Anglia,8,80,equal,1,1
The University of East Anglia,9,90,equal,1,1
The University of East Anglia,10,100,equal,1,1
Teesside University,0,0,equal,1,1
Teesside University,1,10,equal,1,1
Teesside University,2,20,equal,1,1
Teesside University,3,30,equal,1,1
Teesside University,4,40,equal,1,1
Teesside University,5,50,equal,1,1
Teesside University,6,60,equal,1,1
Teesside University,7,70,equal,1,1
Teesside University,8,80,equal,1,1
Teesside University,9,90,equal,1,1
Teesside University,10,100,equal,1,1
Edge Hill University,0,0,equal,1,1
Edge Hill University,1,10,equal,1,1
Edge Hill University,2,20,equal,1,1
Edge Hill University,3,30,equal,1,1
Edge Hill University,4,40,equal,1,1
Edge Hill University,5,50,equal,1,1
Edge Hill University,6,60,equal,1,1
Edge Hill University,7,70,equal,1,1
Edge Hill University,8,80,equal,1,1
Edge Hill University,9,90,equal,1,1
Edge Hill University,10,100,equal,1,1
University of Worcester,0,0,equal,1,1
University of Worcester,1,10,equal,1,1
University of Worcester,2,20,equal,1,1
University of Worcester,3,30,equal,1,1
University of Worcester,4,40,equal,1,1
University of Worcester,5,50,equal,1,1
University of Worcester,6,60,equal,1,1
University of Worcester,7,70,equal,1,1
University of Worcester,8,80,equal,1,1
University of Worcester,9,90,equal,1,1
University of Worcester,10,100,equal,1,1
Keele University,0,0,equal,1,1
Keele University,1,10,equal,1,1
Keele University,2,20,equal,1,1
Keele University,3,30,equal,1,1
Keele University,4,40,equal,1,1
Keele University,5,50,equal,1,1
Keele University,6,60,equal,1,1
Keele University,7,70,equal,1,1
Keele University,8,80,equal,1,1
Keele University,9,90,equal,1,1
Keele University,10,100,equal,1,1
University of Cumbria,0,0,equal,1,1
University of Cumbria,1,10,equal,1,1
University of Cumbria,2,20,equal,1,1
University of Cumbria,3,30,equal,1,1
University of Cumbria,4,40,equal,1,1
University of Cumbria,5,50,equal,1,1
University of Cumbria,6,60,equal,1,1
University of Cumbria,7,70,equal,1,1
University of Cumbria,8,80,equal,1,1
University of Cumbria,9,90,equal,1,1
University of Cumbria,10,100,equal,1,1
Staffordshire University,0,0,equal,1,1
Staffordshire University,1,10,equal,1,1
Staffordshire University,2,20,equal,1,1
Staffordshire University,3,30,equal,1,1
Staffordshire University,4,40,equal,1,1
Staffordshire University,5,50,equal,1,1
Staffordshire University,6,60,equal,1,1
Staffordshire University,7,70,equal,1,1
Staffordshire University,8,80,equal,1,1
Staffordshire University,9,90,equal,1,1
Staffordshire University,10,100,equal,1,1
Falmouth University,0,0,equal,1,1
Falmouth University,1,10,equal,1,1
Falmouth University,2,20,equal,1,1
Falmouth University,3,30,equal,1,1
Falmouth University,4,40,equal,1,1
Falmouth University,5,50,equal,1,1
Falmouth University,6,60,equal,1,1
Falmouth University,7,70,equal,1,1
Falmouth University,8,80,equal,1,1
Falmouth University,9,90,equal,1,1
Falmouth University,10,100,equal,1,1
University of Chester,0,0,equal,1,1
University of Chester,1,10,equal,1,1
University of Chester,2,20,equal,1,1
University of Chester,3,30,equal,1,1
University of Chester,4,40,equal,1,1
University of Chester,5,50,equal,1,1
University of Chester,6,60,equal,1,1
University of Chester,7,70,equal,1,1
University of Chester,8,80,equal,1,1
University of Chester,9,90,equal,1,1
University of Chester,10,100,equal,1,1
Birmingham City University,0,0,equal,1,1
Birmingham City University,1,10,equal,1,1
Birmingham City University,2,20,equal,1,1
Birmingham City University,3,30,equal,1,1
Birmingham City University,4,40,equal,1,1
Birmingham City University,5,50,equal,1,1
Birmingham City University,6,60,equal,1,1
Birmingham City University,7,70,equal,1,1
Birmingham City University,8,80,equal,1,1
Birmingham City University,9,90,equal,1,1
Birmingham City University,10,100,equal,1,1
University of Derby,0,0,equal,1,1
University of Derby,1,10,equal,1,1
University of Derby,2,20,equal,1,1
University of Derby,3,30,equal,1,1
University of Derby,4,40,equal,1,1
University of Derby,5,50,equal,1,1
University of Derby,6,60,equal,1,1
University of Derby,7,70,equal,1,1
University of Derby,8,80,equal,1,1
University of Derby,9,90,equal,1,1
University of Derby,10,100,equal,1,1
Liverpool John Moores University,0,0,equal,1,1
Liverpool John Moores University,1,10,equal,1,1
Liverpool John Moores University,2,20,equal,1,1
Liverpool John Moores University,3,30,equal,1,1
Liverpool John Moores University,4,40,equal,1,1
Liverpool John Moores University,5,50,equal,1,1
Liverpool John Moores University,6,60,equal,1,1
Liverpool John Moores University,7,70,equal,1,1
Liverpool John Moores University,8,80,equal,1,1
Liverpool John Moores University,9,90,equal,1,1
Liverpool John Moores University,10,100,equal,1,1
University of Bedfordshire,0,0,equal,1,1
University of Bedfordshire,1,10,equal,1,1
University of Bedfordshire,2,20,equal,1,1
University of Bedfordshire,3,30,equal,1,1
University of Bedfordshire,4,40,equal,1,1
University of Bedfordshire,5,50,equal,1,1
University of Bedfordshire,6,60,equal,1,1
University of Bedfordshire,7,70,equal,1,1
University of Bedfordshire,8,80,equal,1,1
University of Bedfordshire,9,90,equal,1,1
University of Bedfordshire,10,100,equal,1,1
Aston University,0,0,equal,1,1
Aston University,1,10,equal,1,1
Aston University,2,20,equal,1,1
Aston University,3,30,equal,1,1
Aston University,4,40,equal,1,1
Aston University,5,50,equal,1,1
Aston University,6,60,equal,1,1
Aston University,7,70,equal,1,1
Aston University,8,80,equal,1,1
Aston University,9,90,equal,1,1
Aston University,10,100,equal,1,1
Coventry University,0,0,equal,1,1
Coventry University,1,10,equal,1,1
Coventry University,2,20,equal,1,1
Coventry University,3,30,equal,1,1
Coventry University,4,40,equal,1,1
Coventry University,5,50,equal,1,1
Coventry University,6,60,equal,1,1
Coventry University,7,70,equal,1,1
Coventry University,8,80,equal,1,1
Coventry University,9,90,equal,1,1
Coventry University,10,100,equal,1,1
The University of Southampton,0,0,equal,1,1
The University of Southampton,1,10,equal,1,1
The University of Southampton,2,20,equal,1,1
The University of Southampton,3,30,equal,1,1
The University of Southampton,4,40,equal,1,1
The University of Southampton,5,50,equal,1,1
The University of Southampton,6,60,equal,1,1
The University of Southampton,7,70,equal,1,1
The University of Southampton,8,80,equal,1,1
The University of Southampton,9,90,equal,1,1
The University of Southampton,10,100,equal,1,1
London School of Economics and Political Science,0,0,equal,1,1
London School of Economics and Political Science,1,10,equal,1,1
London School of Economics and Political Science,2,20,equal,1,1
London School of Economics and Political Science,3,30,equal,1,1
London School of Economics and Political Science,4,40,equal,1,1
London School of Economics and Political Science,5,50,equal,1,1
London School of Economics and Political Science,6,60,equal,1,1
London School of Economics and Political Science,7,70,equal,1,1
London School of Economics and Political Science,8,80,equal,1,1
London School of Economics and Political Science,9,90,equal,1,1
London School of Economics and Political Science,10,100,equal,1,1
The University of Warwick,0,0,equal,1,1
The University of Warwick,1,10,equal,1,1
The University of Warwick,2,20,equal,1,1
The University of Warwick,3,30,equal,1,1
The University of Warwick,4,40,equal,1,1
The University of Warwick,5,50,equal,1,1
The University of Warwick,6,60,equal,1,1
The University of Warwick,7,70,equal,1,1
The University of Warwick,8,80,equal,1,1
The University of Warwick,9,90,equal,1,1
The University of Warwick,10,100,equal,1,1
King's College London,0,0,equal,1,1
King's College London,1,10,equal,1,1
King's College London,2,20,equal,1,1
King's College London,3,30,equal,1,1
King's College London,4,40,equal,1,1
King's College London,5,50,equal,1,1
King's College London,6,60,equal,1,1
King's College London,7,70,equal,1,1
King's College London,8,80,equal,1,1
King's College London,9,90,equal,1,1
King's College London,10,100,equal,1,1
The Nottingham Trent University,0,0,equal,1,1
The Nottingham Trent University,1,10,equal,1,1
The Nottingham Trent University,2,20,equal,1,1
The Nottingham Trent University,3,30,equal,1,1
The Nottingham Trent University,4,40,equal,1,1
The Nottingham Trent University,5,50,equal,1,1
The Nottingham Trent University,6,60,equal,1,1
The Nottingham Trent University,7,70,equal,1,1
The Nottingham Trent University,8,80,equal,1,1
The Nottingham Trent University,9,90,equal,1,1
The Nottingham Trent University,10,100,equal,1,1
The University of Leicester,0,0,equal,1,1
The University of Leicester,1,10,equal,1,1
The University of Leicester,2,20,equal,1,1
The University of Leicester,3,30,equal,1,1
The University of Leicester,4,40,equal,1,1
The University of Leicester,5,50,equal,1,1
The University of Leicester,6,60,equal,1,1
The University of Leicester,7,70,equal,1,1
The University of Leicester,8,80,equal,1,1
The University of Leicester,9,90,equal,1,1
The University of Leicester,10,100,equal,1,1
Sheffield Hallam University,0,0,equal,1,1
Sheffield Hallam University,1,10,equal,1,1
Sheffield Hallam University,2,20,equal,1,1
Sheffield Hallam University,3,30,equal,1,1
Sheffield Hallam University,4,40,equal,1,1
Sheffield Hallam University,5,50,equal,1,1
Sheffield Hallam University,6,60,equal,1,1
Sheffield Hallam University,7,70,equal,1,1
Sheffield Hallam University,8,80,equal,1,1
Sheffield Hallam University,9,90,equal,1,1
Sheffield Hallam University,10,100,equal,1,1
The University of Northampton,0,0,equal,1,1
The University of Northampton,1,10,equal,1,1
The University of Northampton,2,20,equal,1,1
The University of Northampton,3,30,equal,1,1
The University of Northampton,4,40,equal,1,1
The University of Northampton,5,50,equal,1,1
The University of Northampton,6,60,equal,1,1
The University of Northampton,7,70,equal,1,1
The University of Northampton,8,80,equal,1,1
The University of Northampton,9,90,equal,1,1
The University of Northampton,10,100,equal,1,1
Anglia Ruskin University,0,0,equal,1,1
Anglia Ruskin University,1,10,equal,1,1
Anglia Ruskin University,2,20,equal,1,1
Anglia Ruskin University,3,30,equal,1,1
Anglia Ruskin University,4,40,equal,1,1
Anglia Ruskin University,5,50,equal,1,1
Anglia Ruskin University,6,60,equal,1,1
Anglia Ruskin University,7,70,equal,1,1
Anglia Ruskin University,8,80,equal,1,1
Anglia Ruskin University,9,90,equal,1,1
Anglia Ruskin University,10,100,equal,1,1
The University of Central Lancashire,0,0,equal,1,1
The University of Central Lancashire,1,10,equal,1,1
The University of Central Lancashire,2,20,equal,1,1
The University of Central Lancashire,3,30,equal,1,1
The University of Central Lancashire,4,40,equal,1,1
The University of Central Lancashire,5,50,equal,1,1
The University of Central Lancashire,6,60,equal,1,1
The University of Central Lancashire,7,70,equal,1,1
The University of Central Lancashire,8,80,equal,1,1
The University of Central Lancashire,9,90,equal,1,1
The University of Central Lancashire,10,100,equal,1,1
York St John University,0,0,equal,1,1
York St John University,1,10,equal,1,1
