"Socio-economic background","Men","","","Women","",""
"","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)"
"Higher professional","3.729","3.948","3.845","3.318","2.773","3.025"
"Lower professional","3.486","4.256","3.878","3.436","4.051","3.762"
"Intermediate","4.77","4.014","4.414","5.266","4.897","5.081"
"Higher working","4.83","5.607","5.175","4.991","4.39","4.724"
"Lower working","7.683","7.595","7.642","7.861","5.956","6.945"
