Region,Difference compared to average
Bedfordshire and Hertfordshire,1.8853
"Berkshire, Buckinghamshire and Oxfordshire",-0.247
Cheshire,2.0199
Cornwall and Isles of Scilly,-1.078
Cumbria,-0.873
Derbyshire and Nottinghamshire,-2.138
Devon,1.2663
Dorset and Somerset,-0.992
East Anglia,-3.159
East Wales,-0.139
East Yorkshire and Northern Lincolnshire,-0.743
Eastern Scotland,1.2177
Essex,0.2712
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.516
Greater Manchester,-1.002
Hampshire and Isle of Wight,-2.562
"Herefordshire, Worcestershire and Warwickshire",0.5456
Highlands and Islands,-0.606
Inner London - East,4.914
Inner London - West,2.4569
Kent,0.2083
Lancashire,0.1209
"Leicestershire, Rutland and Northamptonshire",0.2013
Lincolnshire,-1.593
Merseyside,1.2929
North Eastern Scotland,-1.16
North Yorkshire,2.4356
Northern Ireland,-0.092
Northumberland and Tyne and Wear,-1.827
Outer London - East and North East,1.2965
Outer London - South,-0.615
Outer London - West and North West,3.6512
Shropshire and Staffordshire,-0.234
South Yorkshire,-1.642
Southern Scotland,-1.936
"Surrey, East and West Sussex",2.5655
Tees Valley and Durham,-0.429
West Central Scotland,-2.275
West Midlands,0.8747
West Wales and The Valleys,-1.436
West Yorkshire,0.0675
