Region,Index of 'labour market opportunities for young people' ('Z-scores'),Group
South Tyneside,-0.574605605,Middle Group
Southampton,0.429571781,Middle Group
Southend-on-Sea,0.501953932,Middle Group
Southwark,2.84233592,Most Favourable
St Helens,0.00822831,Middle Group
Staffordshire county council,0.279452878,Middle Group
Stirling,-0.560836309,Middle Group
Stockport,1.035543165,Favourable
Stockton-on-Tees,-1.527752621,Least Favourable
Stoke-on-Trent,-0.464564626,Middle Group
Suffolk county council,-0.186715388,Middle Group
Sunderland,-1.664042181,Least Favourable
Surrey county council,1.144794905,Favourable
Sutton,1.491632793,Favourable
Swansea,-0.596029429,Middle Group
Swindon,0.397702891,Middle Group
Tameside,0.299983337,Middle Group
Telford and Wrekin,-0.907441449,Middle Group
Thurrock,0.706741291,Middle Group
Torbay,-0.161858021,Middle Group
Torfaen,-0.668707975,Middle Group
Tower Hamlets,2.299242725,Most Favourable
Trafford,1.190708074,Favourable
Vale of Glamorgan,-0.103179267,Middle Group
Wakefield,-0.520249593,Middle Group
Walsall,-0.597807528,Middle Group
Waltham Forest,0.07075601,Middle Group
Wandsworth,3.875274759,Most Favourable
Warrington,0.894389679,Middle Group
Warwickshire county council,0.800498256,Middle Group
West Berkshire,1.033450002,Favourable
West Dunbartonshire,-0.314079109,Middle Group
West Lothian,-1.20098122,Unfavourable
West Northamptonshire,0.854593343,Middle Group
West Sussex county council,0.352347129,Middle Group
Westminster,1.743839597,Favourable
Wigan,-0.044294823,Middle Group
Wiltshire,-0.080430147,Middle Group
Windsor and Maidenhead,1.110957794,Favourable
Wirral,0.075780048,Middle Group
Wokingham,0.939742847,Middle Group
Wolverhampton,-0.965701131,Middle Group
Worcestershire county council,0.221895821,Middle Group
Wrexham,0.05097255,Middle Group
City of York,0.790372888,Middle Group
