"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Intermediate","year",2019,,,,,"2017 to 2019",12.108,11.344,12.923,889,"Pounds","Mean hourly earnings","2017 to 2019"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Intermediate","year",2020,,,,,"2018 to 2020",11.734,10.867,12.67,671,"Pounds","Mean hourly earnings","2018 to 2020"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Intermediate","year",2021,,,,,"2019 to 2021",11.743,10.815,12.751,807,"Pounds","Mean hourly earnings","2019 to 2021"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Intermediate","year",2022,,,,,"2020 to 2022",12.231,11.188,13.371,597,"Pounds","Mean hourly earnings","2020 to 2022"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Intermediate","year",2023,,,,,"2021 to 2023",13.468,12.28,14.771,371,"Pounds","Mean hourly earnings","2021 to 2023"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Intermediate","year",2024,,,,,"2022 to 2024",14.023,12.685,15.503,569,"Pounds","Mean hourly earnings","2022 to 2024"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Intermediate","year",2025,,,,,"2023 to 2025",13.789,12.442,15.282,689,"Pounds","Mean hourly earnings","2023 to 2025"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2016,,,,,"2014 to 2016",10.522,9.908,11.174,1002,"Pounds","Mean hourly earnings","2014 to 2016"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2017,,,,,"2015 to 2017",11.163,10.52,11.846,962,"Pounds","Mean hourly earnings","2015 to 2017"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2018,,,,,"2016 to 2018",11.658,10.968,12.392,831,"Pounds","Mean hourly earnings","2016 to 2018"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2019,,,,,"2017 to 2019",11.86,11.104,12.667,889,"Pounds","Mean hourly earnings","2017 to 2019"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2020,,,,,"2018 to 2020",11.865,10.985,12.814,671,"Pounds","Mean hourly earnings","2018 to 2020"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2021,,,,,"2019 to 2021",11.698,10.761,12.717,807,"Pounds","Mean hourly earnings","2019 to 2021"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2022,,,,,"2020 to 2022",12.214,11.165,13.362,597,"Pounds","Mean hourly earnings","2020 to 2022"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2023,,,,,"2021 to 2023",12.452,11.33,13.686,371,"Pounds","Mean hourly earnings","2021 to 2023"
