"Socio-economic background","Disabled (£)","Not disabled (£)"
"Higher professional",12.301,12.981
"Lower professional",11.434,12.171
"Intermediate",11.397,11.474
"Higher working",10.648,11.139
"Lower working",10.867,10.732
