"Year","Lower working (£)","Higher working (£)","Intermediate (£)","Lower professional (£)","Higher professional (£)"
"2023 to 2025",12.439,13.032,13.789,14.02,15.309
"2022 to 2024",12.74,13.181,14.023,14.251,15.154
"2021 to 2023",12.396,12.452,13.468,13.919,14.434
"2020 to 2022",12.027,12.214,12.231,13.019,13.575
"2019 to 2021",11.321,11.698,11.743,12.644,13.317
"2018 to 2020",11.171,11.865,11.734,12.49,13.149
"2017 to 2019",11.209,11.86,12.108,12.72,13.489
"2016 to 2018",11.291,11.658,12.022,12.918,13.727
"2015 to 2017",10.752,11.163,11.417,12.152,12.934
"2014 to 2016",10.369,10.522,10.887,11.829,12.481
