"Ethnicity","Lower working (£)","Higher professional (£)"
"Bangladeshi",8.339,9.968
"Chinese",10.509,12.561
"Indian",10.473,12.519
"Pakistani",9.928,11.867
"Black African",10.439,12.478
"Black Caribbean",9.782,11.693
"Mixed",10.681,12.768
"White British",10.881,13.006
"White other",10.794,12.903
"Other",10.325,12.341
