"Ethnicity","Lower working (£)","Higher professional (£)"
"Bangladeshi",8.163,9.746
"Chinese",9.777,11.672
"Indian",10.174,12.146
"Pakistani",9.414,11.24
"Black African",10.291,12.286
"Black Caribbean",10.13,12.094
"Mixed",10.312,12.312
"White British",10.451,12.477
"White other",10.41,12.429
"Other",9.825,11.73
