"Region","GVA per Capita (£)"
"Bedfordshire and Hertfordshire",35425
"Berkshire, Buckinghamshire and Oxfordshire",46633
"Cambridgeshire and Peterborough",37087
"Cheshire",42013
"Cornwall and Isles of Scilly",24891
"Cumbria",29812
"Derbyshire and Nottinghamshire",27377
"Devon",26696
"East Central Scotland",45836
"East Yorkshire and Northern Lincolnshire",27994
"Eastern Scotland",26536
"Essex",28893
"Gloucestershire and Wiltshire",35475
"Greater Manchester",34033
"Hampshire and Isle of Wight",35671
"Herefordshire, Worcestershire and Warwickshire",33484
"Highlands and Islands",
"Inner London - East",60657
"Inner London - West",250416
"Kent",28974
"Lancashire",27430
"Leicestershire, Rutland and Northamptonshire",30163
"Lincolnshire",24342
"Merseyside",27308
"Mid and South West Wales",22878
"Norfolk",26356
"North Eastern Scotland",37295
"North Somerset, Somerset and Dorset",28129
"North Wales",27395
"North Yorkshire",34103
"Northern Ireland",29234
"Northumberland, Durham and Tyne & Wear",25920
"Outer London - East and North East",22522
"Outer London - South",28003
"Outer London - West and North West",33912
"Shropshire and Staffordshire",25930
"South East Wales",26684
"South Yorkshire",24977
"Southern Scotland",
"Suffolk",29594
"Surrey, East and West Sussex",35880
"Tees Valley",23933
"West Central Scotland",33792
"West Midlands",27965
"West of England",44160
"West Yorkshire",30646
