"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-34","Owned",NA,NA,56.28623137,53.73292829,58.79222395,NA,1514,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-34","Not owned",NA,NA,22.16348221,18.70109688,25.72374946,NA,562,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","35-44","Owned",NA,NA,69.07218431,67.32861778,70.71533707,NA,2920,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","35-44","Not owned",NA,NA,37.81712556,34.66108015,41.04606429,NA,915,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","45-54","Owned",NA,NA,75.05249043,73.64601037,76.38034853,NA,3921,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","45-54","Not owned",NA,NA,47.93337798,45.48809917,50.37802418,NA,1642,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","55-64","Owned",NA,NA,80.76680929,79.46779697,81.99896501,NA,3804,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","55-64","Not owned",NA,NA,59.64306345,57.74904916,61.50957317,NA,2666,"2016-20","Percentage",NA,"Total"
