Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note,Quintile,Q1_upper,Q2_upper,Q3_upper,Q4_upper
CI1,Promising prospects,ITL2,TLH3,Essex,NA,NA,NA,Total,NA,NA,0.419147895,NA,NA,NA,NA,NA,NA,4,,,,
CI1,Promising prospects,ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",NA,NA,NA,Total,NA,NA,0.210194444,NA,NA,NA,NA,NA,NA,2,,,,
CI1,Promising prospects,ITL2,TLD3,Greater Manchester,NA,NA,NA,Total,NA,NA,0.260798572,NA,NA,NA,NA,NA,NA,2,,,,
CI1,Promising prospects,ITL2,TLJ3,Hampshire and Isle of Wight,NA,NA,NA,Total,NA,NA,0.284456234,NA,NA,NA,NA,NA,NA,3,,,,
CI1,Promising prospects,ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",NA,NA,NA,Total,NA,NA,0.415275206,NA,NA,NA,NA,NA,NA,4,,,,
CI1,Promising prospects,ITL2,TLM6,Highlands and Islands,NA,NA,NA,Total,NA,NA,0.285128351,NA,NA,NA,NA,NA,NA,3,,,,
CI1,Promising prospects,ITL2,TLI4,Inner London - East,NA,NA,NA,Total,NA,NA,0.640524955,NA,NA,NA,NA,NA,NA,5,,,,
CI1,Promising prospects,ITL2,TLI3,Inner London - West,NA,NA,NA,Total,NA,NA,0.514215393,NA,NA,NA,NA,NA,NA,5,,,,
CI1,Promising prospects,ITL2,TLJ4,Kent,NA,NA,NA,Total,NA,NA,0.292406439,NA,NA,NA,NA,NA,NA,3,,,,
CI1,Promising prospects,ITL2,TLD4,Lancashire,NA,NA,NA,Total,NA,NA,0.000000001,NA,NA,NA,NA,NA,NA,1,,,,
CI1,Promising prospects,ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",NA,NA,NA,Total,NA,NA,0.470585508,NA,NA,NA,NA,NA,NA,4,,,,
CI1,Promising prospects,ITL2,TLF3,Lincolnshire,NA,NA,NA,Total,NA,NA,0.117450904,NA,NA,NA,NA,NA,NA,1,,,,
CI1,Promising prospects,ITL2,TLD7,Merseyside,NA,NA,NA,Total,NA,NA,0.275045261,NA,NA,NA,NA,NA,NA,2,,,,
CI1,Promising prospects,ITL2,TLM5,North Eastern Scotland,NA,NA,NA,Total,NA,NA,0.37462946,NA,NA,NA,NA,NA,NA,4,,,,
CI1,Promising prospects,ITL2,TLE2,North Yorkshire,NA,NA,NA,Total,NA,NA,0.591729886,NA,NA,NA,NA,NA,NA,5,,,,
CI1,Promising prospects,ITL2,TLN0,Northern Ireland,NA,NA,NA,Total,NA,NA,0.252119882,NA,NA,NA,NA,NA,NA,2,,,,
CI1,Promising prospects,ITL2,TLC2,"Northumberland, and Tyne and Wear",NA,NA,NA,Total,NA,NA,0.181324286,NA,NA,NA,NA,NA,NA,2,,,,
CI1,Promising prospects,ITL2,TLI5,Outer London - East and North East,NA,NA,NA,Total,NA,NA,0.705026477,NA,NA,NA,NA,NA,NA,5,,,,
CI1,Promising prospects,ITL2,TLI6,Outer London - South,NA,NA,NA,Total,NA,NA,0.49845474,NA,NA,NA,NA,NA,NA,5,,,,
CI1,Promising prospects,ITL2,TLI7,Outer London - West and North West,NA,NA,NA,Total,NA,NA,0.600074903,NA,NA,NA,NA,NA,NA,5,,,,
CI1,Promising prospects,ITL2,TLG2,Shropshire and Staffordshire,NA,NA,NA,Total,NA,NA,0.270478988,NA,NA,NA,NA,NA,NA,2,,,,
CI1,Promising prospects,ITL2,TLE3,South Yorkshire,NA,NA,NA,Total,NA,NA,0.076701765,NA,NA,NA,NA,NA,NA,1,,,,
CI1,Promising prospects,ITL2,TLM9,Southern Scotland,NA,NA,NA,Total,NA,NA,0.131566033,NA,NA,NA,NA,NA,NA,1,,,,
CI1,Promising prospects,ITL2,TLJ2,"Surrey, East and West Sussex",NA,NA,NA,Total,NA,NA,0.870359624,NA,NA,NA,NA,NA,NA,5,,,,
CI1,Promising prospects,ITL2,TLC1,Tees Valley and Durham,NA,NA,NA,Total,NA,NA,0.040580522,NA,NA,NA,NA,NA,NA,1,,,,
CI1,Promising prospects,ITL2,TLM8,West Central Scotland,NA,NA,NA,Total,NA,NA,0.297985392,NA,NA,NA,NA,NA,NA,3,,,,
CI1,Promising prospects,ITL2,TLG3,West Midlands,NA,NA,NA,Total,NA,NA,0.39184467,NA,NA,NA,NA,NA,NA,4,,,,
CI1,Promising prospects,ITL2,TLL1,West Wales and The Valleys,NA,NA,NA,Total,NA,NA,0.297828072,NA,NA,NA,NA,NA,NA,3,,,,
CI1,Promising prospects,ITL2,TLE4,West Yorkshire,NA,NA,NA,Total,NA,NA,0.102969694,NA,NA,NA,NA,NA,NA,1,,,,
