School year,Disadvantage attainment gap index
2021/22,3.84
2020/21,3.79
2019/20,3.66
2018/19,3.7
2017/18,3.68
2016/17,3.66
2015/16,3.78
2014/15,3.8
2013/14,3.74
2012/13,3.81
2011/12,3.89
2010/11,4.07
