"ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"DR51","Broadband speed","ITL2","K02000001","Derbyshire and Nottinghamshire",2023,"Total",NA,"Total","Quintile",3,NA,NA,76.1539965152134,814253,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Leicestershire, Rutland and Northamptonshire",2023,"Total",NA,"Total","Quintile",5,NA,NA,84.6566818360389,1476112,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Lincolnshire",2023,"Total",NA,"Total","Quintile",2,NA,NA,63.0680098236119,239596,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Herefordshire, Worcestershire and Warwickshire",2023,"Total",NA,"Total","Quintile",3,NA,NA,72.3227706485834,484517,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Shropshire and Staffordshire",2023,"Total",NA,"Total","Quintile",1,NA,NA,61.3889396325718,870373,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","West Midlands",2023,"Total",NA,"Total","Quintile",5,NA,NA,91.2527525431083,1152452,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","East Anglia",2023,"Total",NA,"Total","Quintile",2,NA,NA,62.539529384398,908720,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Bedfordshire and Hertfordshire",2023,"Total",NA,"Total","Quintile",4,NA,NA,82.1013496307614,806030,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Essex",2023,"Total",NA,"Total","Quintile",3,NA,NA,74.2508182732842,641311,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Berkshire, Buckinghamshire and Oxfordshire",2023,"Total",NA,"Total","Quintile",4,NA,NA,77.858264095641,1449302,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Surrey, East and West Sussex",2023,"Total",NA,"Total","Quintile",2,NA,NA,70.027456323809,956949,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Hampshire and Isle of Wight",2023,"Total",NA,"Total","Quintile",3,NA,NA,74.9854018543619,707572,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Kent",2023,"Total",NA,"Total","Quintile",2,NA,NA,71.2952340862518,616507,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Gloucestershire, Wiltshire and Bath/Bristol area",2023,"Total",NA,"Total","Quintile",2,NA,NA,70.4721997216857,1357210,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Devon",2023,"Total",NA,"Total","Quintile",2,NA,NA,69.3433369198905,429220,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Dorset and Somerset",2023,"Total",NA,"Total","Quintile",1,NA,NA,61.4655906532046,1190224,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Cornwall and Isles of Scilly",2023,"Total",NA,"Total","Quintile",1,NA,NA,45.8206881164205,846101,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","West Wales and The Valleys",2023,"Total",NA,"Total","Quintile",1,NA,NA,57.1196382880503,565461,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","East Wales",2023,"Total",NA,"Total","Quintile",3,NA,NA,71.9090910692298,408220,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","North Eastern Scotland",2023,"Total",NA,"Total","Quintile",1,NA,NA,57.701708659137,149433,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Eastern Scotland",2023,"Total",NA,"Total","Quintile",3,NA,NA,76.5903146334824,796177,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Highlands and Islands",2023,"Total",NA,"Total","Quintile",1,NA,NA,27.7104817129197,75697,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Southern Scotland",2023,"Total",NA,"Total","Quintile",1,NA,NA,61.3205107610088,313013,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","West Central Scotland",2023,"Total",NA,"Total","Quintile",5,NA,NA,85.6855415675817,676681,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
"DR51","Broadband speed","ITL2","K02000001","Northern Ireland",2023,"Total",NA,"Total","Quintile",5,NA,NA,91,NA,NA,NA,NA,"Percentage","Gigabit availability (% premises)"
