"Year","Percentage (%)"
"2024",15.879
"2023",16.687
"2022",15.952
"2021",15.241
"2020",15.138
"2019",13.542
"2018",13.451
"2017",12.52
"2016",12.698
"2015",12.141
"2014",12.258
