"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",17.11,16.74,17.48,0.188775510204082,6941,2001,"Percentage","Downward","Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",16.01,15.51,16.53,0.260204081632653,3182,2001,"Percentage","Downward","Men"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",18.15,17.63,18.69,0.270408163265307,3759,2001,"Percentage","Downward","Women"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",26.42,25.98,26.86,0.224489795918367,10096,2011,"Percentage","Downward","Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",25.53,24.91,26.16,0.318877551020408,4787,2011,"Percentage","Downward","Men"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",27.27,26.65,27.91,0.321428571428572,5309,2011,"Percentage","Downward","Women"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",28.66,28.23,29.1,0.221938775510204,11918,2021,"Percentage","Downward","Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",26.55,25.95,27.17,0.311224489795919,5418,2021,"Percentage","Downward","Men"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",30.69,30.07,31.32,0.318877551020408,6500,2021,"Percentage","Downward","Women"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",11.87,11.51,12.24,0.186224489795918,3555,2001,"Percentage","Downward","Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",11.26,10.76,11.78,0.260204081632653,1680,2001,"Percentage","Downward","Men"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",12.48,11.95,13.02,0.272959183673469,1875,2001,"Percentage","Downward","Women"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",16.68,16.31,17.04,0.186224489795918,6775,2011,"Percentage","Downward","Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",16.42,15.91,16.94,0.262755102040817,3267,2011,"Percentage","Downward","Men"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",16.92,16.42,17.44,0.260204081632653,3508,2011,"Percentage","Downward","Women"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",21.61,21.2,22.02,0.209183673469388,8543,2021,"Percentage","Downward","Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",20.57,20,21.14,0.290816326530612,4004,2021,"Percentage","Downward","Men"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",22.61,22.04,23.2,0.295918367346939,4539,2021,"Percentage","Downward","Women"
