"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","split_value"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",14.11,13.57,14.67,0.280612244897959,2199,1991,"Percentage","Downward","Men","Men - Aged 28-37"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",16.01,15.51,16.53,0.260204081632653,3182,2001,"Percentage","Downward","Men","Men - Aged 28-37"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",25.53,24.91,26.16,0.318877551020408,4787,2011,"Percentage","Downward","Men","Men - Aged 28-37"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",26.55,25.95,27.17,0.311224489795919,5418,2021,"Percentage","Downward","Men","Men - Aged 28-37"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",11.26,10.76,11.78,0.260204081632653,1680,2001,"Percentage","Downward","Men","Men - Aged 38-47"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",16.42,15.91,16.94,0.262755102040817,3267,2011,"Percentage","Downward","Men","Men - Aged 38-47"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",20.57,20,21.14,0.290816326530612,4004,2021,"Percentage","Downward","Men","Men - Aged 38-47"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",16.05,15.47,16.64,0.298469387755102,2456,1991,"Percentage","Downward","Women","Women - Aged 28-37"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",18.15,17.63,18.69,0.270408163265307,3759,2001,"Percentage","Downward","Women","Women - Aged 28-37"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",27.27,26.65,27.91,0.321428571428572,5309,2011,"Percentage","Downward","Women","Women - Aged 28-37"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","28-37","Owner","Tenure","Renter",30.69,30.07,31.32,0.318877551020408,6500,2021,"Percentage","Downward","Women","Women - Aged 28-37"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",12.48,11.95,13.02,0.272959183673469,1875,2001,"Percentage","Downward","Women","Women - Aged 38-47"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",16.92,16.42,17.44,0.260204081632653,3508,2011,"Percentage","Downward","Women","Women - Aged 38-47"
"MO41","Absolute housing mobility","K02000001","United Kingdom","National","38-47","Owner","Tenure","Renter",22.61,22.04,23.2,0.295918367346939,4539,2021,"Percentage","Downward","Women","Women - Aged 38-47"
