"Year","Men","","Women",""
"","28-37","38-47","28-37","38-47"
"2021","4.62","3.94","4.66","4.22"
"2011","3.46","2.83","3.93","3.18"
"2001","2.92","2.57","3.25","2.63"
"1991","2.94",,"2.78",
