"Year","Ratio of earnings"
2024,2.985
2023,3.03
2022,3.098
2021,3.268
2020,3.407
2019,3.456
2018,3.54
2017,3.568
2016,3.621
2015,3.725
2014,3.821
2013,3.863
2012,3.864
2011,3.962
2010,3.963
2009,3.948
2008,3.945
2007,3.93
2006,3.97
2005,3.996
2004,3.956
2003,3.978
2002,4.019
2001,4.033
2000,3.961
1999,3.993
1998,3.99
1997,4.013
