Region,Index of 'promising prospects',Group
Walsall,0.633251319,Middle Group
Waltham Forest,-0.767872453,Middle Group
Wandsworth,-1.536525766,Favourable
Warrington,-0.349263003,Middle Group
Warwickshire CC,-1.060365554,Favourable
West Berkshire,-0.595372013,Middle Group
West Dunbartonshire,0.803418895,Middle Group
West Lothian,0.725711879,Middle Group
West Northamptonshire,-0.324113106,Middle Group
West Sussex,-0.727650147,Middle Group
Westminster,-0.99064947,Middle Group
Wigan,0.618856978,Middle Group
Wiltshire,-0.168096345,Middle Group
Windsor and Maidenhead,-0.784692542,Middle Group
Wirral,0.530329177,Middle Group
Wokingham,-0.891951348,Middle Group
Wolverhampton,0.808753192,Middle Group
Worcestershire CC,-0.571848112,Middle Group
Wrexham,0.353479401,Middle Group
York,-0.170384111,Middle Group
