Age (years),Lower working,,Higher working,,Intermediate,,Lower professional,,Higher professional,
,Men (%),Women (%),Men (%),Women (%),Men (%),Women (%),Men (%),Women (%),Men (%),Women (%)
25,23.91669812,25.80695917,29.92189757,31.36249599,32.41969069,34.6061054,42.59386244,43.80679701,47.87074364,47.33209569
26,25.24423207,26.77797039,31.70881393,32.69023128,34.38753078,36.13428754,45.20103376,45.84279929,50.72984168,49.53009567
27,26.49878146,27.6610754,33.41336671,33.92229433,36.2671666,37.5613703,47.68047532,47.75501039,53.43043558,51.59209624
28,27.6683352,28.44929468,35.02130975,35.05062915,38.0436967,38.87902778,50.01681544,49.53583187,55.95886845,53.51145029
29,28.74221526,29.13665726,36.52038334,36.06844931,39.70456373,40.08041829,52.19885594,51.17993449,58.30667338,55.28410431
30,29.71110834,29.71816644,37.9002786,36.97014098,41.23947507,41.1600413,54.21915413,52.68393167,60.46984778,56.90817461
31,30.56704936,30.18975448,39.15252401,37.75114802,42.64023375,42.11357306,56.07349378,54.04603506,62.44804341,58.38351606
32,31.30336931,30.54823341,40.2703172,38.40784967,43.90050842,42.93769397,57.76030617,55.26571369,64.24375095,59.71130787
33,31.91462048,30.79124795,41.24832372,38.93744038,45.01556901,43.6299189,59.28008927,56.3433725,65.86153462,60.89367284
34,32.39649124,30.91723542,42.08246231,39.33781921,45.98201058,44.18843915,60.63485927,57.28006023,67.30735058,61.93333956
35,32.74572108,30.92539664,42.76969301,39.60749464,46.7974838,44.61198257,61.82765612,58.07721262,68.58796509,62.83335147
36,32.96002484,30.81568008,43.3078206,39.74550947,47.46044571,44.89969669,62.8621139,58.73643299,69.71047518,63.5968228
37,33.03803306,30.58878088,43.69532333,39.75138865,47.96994036,45.05105786,63.74209913,59.25931021,70.68192607,64.22673877
38,32.9792535,30.24615464,43.93121338,39.62511217,48.32541582,45.06580865,64.47141472,59.64727258,71.50901424,64.72579611
39,32.78405675,29.7900448,44.01493389,39.36711389,48.52658128,44.94392465,65.05356419,59.90147529,72.19786327,65.09627917
40,32.45368711,29.22352143,43.94629536,38.97830638,48.57330657,44.68561118,65.49156907,60.02271905,72.75385895,65.33996727
41,31.99029778,28.55052759,43.72545284,38.4601309,48.46556501,44.29133013,65.78783243,60.01139794,73.18153127,65.45806913
42,31.39700782,27.77592864,43.35292464,37.81463064,48.20342014,43.76185624,65.94404211,59.86747485,73.48447248,65.45118147
43,30.67797601,26.90555836,42.82965193,37.04454418,47.78705632,43.09836202,65.96110811,59.59048371,73.66528243,65.31926929
44,29.83848503,25.94625528,42.15709797,36.153415,47.21685313,42.30252923,65.8391307,59.17955875,73.72553426,65.06166704
