"Region","Mean hourly earnings (£)"
"Bedfordshire and Hertfordshire",27.115
"Berkshire, Buckinghamshire and Oxfordshire",26.385
"Cheshire",24.166
"Cornwall and Isles of Scilly",17.603
"Cumbria",18.765
"Derbyshire and Nottinghamshire",20.379
"Devon",19.728
"Dorset and Somerset",20.665
"East Anglia",19.832
"East Wales",19.933
"East Yorkshire and Northern Lincolnshire",18.146
"Eastern Scotland",23.733
"Essex",23.204
"Gloucestershire, Wiltshire and Bath/Bristol area",22.126
"Greater Manchester",20.363
"Hampshire and Isle of Wight",22.843
"Herefordshire, Worcestershire and Warwickshire",21.425
"Highlands and Islands",20.552
"Inner London - East",26.029
"Inner London - West",35.237
"Kent",22.671
"Lancashire",19.067
"Leicestershire, Rutland and Northamptonshire",19.695
"Lincolnshire",19.217
"Merseyside",20.283
"North Eastern Scotland",26.717
"North Yorkshire",21.469
"Northern Ireland",18.772
"Northumberland, and Tyne and Wear",18.727
"Outer London - East and North East",23.989
"Outer London - South",28.144
"Outer London - West and North West",26.75
"Shropshire and Staffordshire",19.604
"South Yorkshire",18.727
"Southern Scotland",19.213
"Surrey, East and West Sussex",26.457
"Tees Valley and Durham",17.812
"West Central Scotland",21.036
"West Midlands",19.483
"West Wales and The Valleys",18.035
"West Yorkshire",20.089
