"Year","Mean hourly earnings (£)"
"2025",23.889
"2024",22.293
"2023",22.127
"2022",22.37
"2021",23.634
"2020",23.69
"2019",21.554
"2018",20.631
"2017",20.782
"2016",20.659
"2015",20.274
"2014",20.12
