Highest qualification,Percentage difference relative to lower level (%)
Higher degree,57.59855266
First degree,47.90516092
Further education below degree,29.11826319
A level and equivalent,15.58750714
"O level, GCSE and equivalent",3.285088555
Lower level (below CSE grade 1),0
