Ethnicity,Lower working (£),Higher professional (£)
Bangladeshi,10.63887458,14.77472834
Chinese,13.83578508,19.21443517
Indian,12.70327177,17.64165825
Pakistani,11.07339546,15.37816885
Black African,12.9810976,18.02748863
Black Caribbean,11.75238857,16.32111998
Mixed,12.128255,16.84310417
White British,11.86908329,16.48317968
White other,12.07489937,16.76900659
Other,11.84499016,16.44972036
