"Ethnicity","Percentage (%)"
"Bangladeshi",50.4
"Chinese",75.5
"Indian",50.3
"Pakistani",37.6
"Any other Asian background",43.3
"Black African",43.3
"Caribbean",23.2
"Any other Black background",33.7
"White and Asian",30.9
"White and Black African",32.2
"White and Black Caribbean",19.4
"Any other Mixed background",31.8
"White British",18.6
"White Irish",22.1
"Gypsy/Roma",5.8
"Traveller of Irish heritage",7.9
"Any other White background",32.8
"Any other ethnic group",36.8
