Ethnicity,Lower working (%),Higher professional (%)
Bangladeshi,18.78509902,51.85456381
Chinese,29.34144593,65.91240805
Indian,29.87059789,66.48055768
Pakistani,16.69443699,48.27097991
Black African,22.2418476,57.11693173
Black Caribbean,25.02953634,60.85482056
Mixed,27.64181115,64.01354956
White British,23.90515119,59.39610811
White other,19.37435066,52.80666205
Other,20.38456766,54.38425077
