provider,commentary_option_without_location_adjustment,commentary_option_with_location_adjustment,enrolment_5th_decile,required_5th_decile_without_location_adjustment,required_5th_decile_with_location_adjustment
University College London,COMMENTARY_HIGH,COMMENTARY_LOW,31,25,40
The University of Surrey,COMMENTARY_MEDIUM,COMMENTARY_HIGH,36,34,32
The University of Oxford,COMMENTARY_LOW,COMMENTARY_MEDIUM,17,24,17
"University of the West of England, Bristol",COMMENTARY_LOW,COMMENTARY_LOW,28,37,33
The University of East Anglia,COMMENTARY_LOW,COMMENTARY_LOW,31,35,34
Teesside University,COMMENTARY_HIGH,COMMENTARY_HIGH,54,38,43
Edge Hill University,COMMENTARY_HIGH,COMMENTARY_HIGH,40,37,37
University of Worcester,COMMENTARY_MEDIUM,COMMENTARY_HIGH,39,37,34
Keele University,COMMENTARY_HIGH,COMMENTARY_HIGH,43,37,39
University of Cumbria,COMMENTARY_MEDIUM,COMMENTARY_HIGH,40,38,37
Staffordshire University,COMMENTARY_HIGH,COMMENTARY_HIGH,53,38,37
Falmouth University,COMMENTARY_LOW,COMMENTARY_LOW,27,37,35
University of Chester,COMMENTARY_MEDIUM,COMMENTARY_MEDIUM,38,37,36
Birmingham City University,COMMENTARY_HIGH,COMMENTARY_HIGH,61,38,50
University of Derby,COMMENTARY_HIGH,COMMENTARY_HIGH,45,38,37
Liverpool John Moores University,COMMENTARY_HIGH,COMMENTARY_MEDIUM,43,37,44
University of Bedfordshire,COMMENTARY_HIGH,COMMENTARY_HIGH,65,38,43
Aston University,COMMENTARY_HIGH,COMMENTARY_HIGH,68,35,49
Coventry University,COMMENTARY_HIGH,COMMENTARY_HIGH,63,37,39
The University of Southampton,COMMENTARY_MEDIUM,COMMENTARY_MEDIUM,24,25,22
London School of Economics and Political Science,COMMENTARY_HIGH,COMMENTARY_LOW,32,22,37
The University of Warwick,COMMENTARY_HIGH,COMMENTARY_HIGH,31,25,23
King's College London,COMMENTARY_HIGH,COMMENTARY_LOW,44,33,49
The Nottingham Trent University,COMMENTARY_MEDIUM,COMMENTARY_MEDIUM,35,37,37
The University of Leicester,COMMENTARY_HIGH,COMMENTARY_HIGH,46,34,40
Sheffield Hallam University,COMMENTARY_MEDIUM,COMMENTARY_MEDIUM,39,37,39
The University of Northampton,COMMENTARY_HIGH,COMMENTARY_HIGH,60,38,37
Anglia Ruskin University,COMMENTARY_HIGH,COMMENTARY_MEDIUM,41,38,40
The University of Central Lancashire,COMMENTARY_HIGH,COMMENTARY_HIGH,53,37,40
York St John University,COMMENTARY_LOW,COMMENTARY_MEDIUM,35,38,34
"University of the Arts, London",COMMENTARY_HIGH,COMMENTARY_LOW,41,37,55
The University of Westminster,COMMENTARY_HIGH,COMMENTARY_HIGH,76,38,54
University of Gloucestershire,COMMENTARY_LOW,COMMENTARY_LOW,27,37,30
The University of Leeds,COMMENTARY_LOW,COMMENTARY_LOW,24,33,37
The University of Chichester,COMMENTARY_LOW,COMMENTARY_LOW,31,37,34
Kingston University,COMMENTARY_HIGH,COMMENTARY_HIGH,64,38,41
Brunel University London,COMMENTARY_HIGH,COMMENTARY_HIGH,74,37,44
Bournemouth University,COMMENTARY_MEDIUM,COMMENTARY_MEDIUM,36,37,34
University for the Creative Arts,COMMENTARY_HIGH,COMMENTARY_HIGH,41,37,33
The University of East London,COMMENTARY_HIGH,COMMENTARY_HIGH,78,38,58
Roehampton University,COMMENTARY_HIGH,COMMENTARY_HIGH,71,38,47
Canterbury Christ Church University,COMMENTARY_HIGH,COMMENTARY_HIGH,53,38,37
London South Bank University,COMMENTARY_HIGH,COMMENTARY_HIGH,72,38,57
"City St George's, University of London",COMMENTARY_HIGH,COMMENTARY_HIGH,72,36,54
Goldsmiths College,COMMENTARY_HIGH,COMMENTARY_HIGH,63,37,56
Bath Spa University,COMMENTARY_LOW,COMMENTARY_LOW,26,37,31
The University of Wolverhampton,COMMENTARY_HIGH,COMMENTARY_HIGH,70,38,47
The University of Salford,COMMENTARY_HIGH,COMMENTARY_HIGH,55,37,46
University of Northumbria at Newcastle,COMMENTARY_MEDIUM,COMMENTARY_MEDIUM,39,37,40
"St Mary's University, Twickenham",COMMENTARY_HIGH,COMMENTARY_HIGH,52,38,42
The University of Bradford,COMMENTARY_HIGH,COMMENTARY_HIGH,80,38,46
The University of York,COMMENTARY_LOW,COMMENTARY_LOW,23,33,32
The University of Greenwich,COMMENTARY_HIGH,COMMENTARY_HIGH,70,38,56
The University of Cambridge,COMMENTARY_LOW,COMMENTARY_MEDIUM,17,23,18
Leeds Trinity University,COMMENTARY_HIGH,COMMENTARY_HIGH,51,38,39
The University of Sheffield,COMMENTARY_LOW,COMMENTARY_LOW,26,33,33
Queen Mary University of London,COMMENTARY_HIGH,COMMENTARY_HIGH,66,34,57
Norwich University of the Arts,COMMENTARY_MEDIUM,COMMENTARY_MEDIUM,35,37,34
Loughborough University,COMMENTARY_LOW,COMMENTARY_LOW,28,34,31
Ravensbourne University London,COMMENTARY_HIGH,COMMENTARY_MEDIUM,57,38,57
"St George's, University of London",COMMENTARY_HIGH,COMMENTARY_HIGH,52,35,45
Leeds Arts University,COMMENTARY_LOW,COMMENTARY_LOW,29,37,40
