Year,Disadvantage attainment gap index for England at key stage 2
2022,3.2276
2021,
2020,
2019,2.9134
2018,2.8985
2017,2.9995
2016,3.0252
2015,3.103
2014,3.1534
2013,3.1588
2012,3.2339
2011,3.3408
