Socio-economic background,Men (£),Women (£)
Higher professional,10.90190993,9.868028083
Lower professional,10.36999522,9.386557463
Intermediate,9.558305121,8.651843936
Higher working,9.579757503,8.671261883
Lower working,9.21894583,8.34466776
