Year,Lower level (below CSE grade 1),"O level, GCSE and equivalent",A level and equivalent,Further education below degree,First degree,Higher degree
2019-21,9.145907065,10.1406386,10.91248238,11.82984341,14.08083622,14.89571591
2018-20,9.072752108,10.29395232,10.68859483,11.43716939,13.63501877,14.73374952
2017-19,9.072752108,10.29395232,10.68859483,11.43716939,13.63501877,14.73374952
2016-18,9.133836093,9.86111959,10.55724614,11.19345255,13.24383582,14.8000507
2015-17,8.699501892,9.865709174,10.32786438,11.21735389,12.93987397,14.74270812
2014-16,8.383251119,9.711967897,10.17863092,10.8801117,12.79542058,15.26183271
