Ethnicity,Lower working,Higher professional,Gap
Bangladeshi,75.37878484,89.97266685,14.59388201
Chinese,64.04180699,83.92223046,19.88042347
Indian,85.46941216,94.51725477,9.04784261
Pakistani,71.55694374,88.05725596,16.50031222
Black African,84.20614655,93.9852379,9.77909135
Black Caribbean,89.91518092,96.31413342,6.3989525
Mixed,83.75885688,93.79448735,10.03563047
White British,87.603006,95.39390887,7.79090287
White other,88.07511062,95.5842741,7.50916348
Other,72.68318916,88.63392537,15.95073621
