Year,Lower level (below CSE grade 1),"O level, GCSE and equivalent",A level and equivalent,Further education below degree TODO,Higher education above degree TODO
2021,13.49446683,12.95025862,23.4319325,8.649558855,41.47378319
2020,14.09258645,13.21892736,24.53282954,9.248304629,38.90735202
2019,15.91734066,13.72923742,25.05851598,9.29792575,35.99698019
2018,15.80367669,14.75727739,25.09353406,9.202751729,35.14276013
2017,15.79907267,14.67732078,25.3230703,9.916121291,34.28441496
2016,16.38692472,14.9698728,25.31804531,10.01634688,33.30881029
2015,16.89996921,15.8237056,25.31763181,10.33687843,31.62181494
2014,17.24412033,16.30207429,26.48741282,10.30834441,29.65804814
