ITL2 region name TODO,Random effect (what does this mean?) TODO
Bedfordshire and Hertfordshire,0.018853
"Berkshire, Buckinghamshire and Oxfordshire",-0.00247
Cheshire,0.020199
Cornwall and Isles of Scilly,-0.01078
Cumbria,-0.00873
Derbyshire and Nottinghamshire,-0.02138
Devon,0.012663
Dorset and Somerset,-0.00992
East Anglia,-0.03159
East Wales,-0.00139
East Yorkshire and Northern Lincolnshire,-0.00743
Eastern Scotland,0.012177
Essex,0.002712
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.00516
Greater Manchester,-0.01002
Hampshire and Isle of Wight,-0.02562
"Herefordshire, Worcestershire and Warwickshire",0.005456
Highlands and Islands,-0.00606
Inner London - East,0.04914
Inner London - West,0.024569
Kent,0.002083
Lancashire,0.001209
"Leicestershire, Rutland and Northamptonshire",0.002013
Lincolnshire,-0.01593
Merseyside,0.012929
North Eastern Scotland,-0.0116
North Yorkshire,0.024356
Northern Ireland,-0.00092
Northumberland and Tyne and Wear,-0.01827
Outer London - East and North East,0.012965
Outer London - South,-0.00615
Outer London - West and North West,0.036512
Shropshire and Staffordshire,-0.00234
South Yorkshire,-0.01642
Southern Scotland,-0.01936
"Surrey, East and West Sussex",0.025655
Tees Valley and Durham,-0.00429
West Central Scotland,-0.02275
West Midlands,0.008747
West Wales and The Valleys,-0.01436
West Yorkshire,0.000675
