Year,United Kingdom,International Average (OECD)
2018,503.9281094,487.1259946
2015,497.9719311,490.1763124
2012,499.3231153,493.2069742
2009,494.18201,490.3437924
2006,495.0835096,485.3536053
2003,507.012749,494.0859662
2000,523.4433037,493.490987
