Ethnicity,Lower working,Higher professional,Gap
Bangladeshi,28.01582638,74.64251357,46.62668719
Chinese,59.2142388,91.6532633,32.4390245
Indian,49.26800104,88.01689325,38.74889221
Pakistani,24.80792724,71.39058968,46.58266244
Black African,29.59914155,76.07603876,46.47689721
Black Caribbean,19.21943752,64.27910242,45.0596649
Mixed,27.75203528,74.3934163,46.64138102
White British,17.68764756,61.90830973,44.22066217
White other,24.42939146,70.97216318,46.54277172
Other,28.21987339,74.83312029,46.6132469
