Ethnicity,Men,Women
Bangladeshi,-0.075,-0.072
Chinese,-0.034,-0.106
Indian,-0.012,-0.055
Pakistani,-0.05,-0.116
Black African,-0.067,-0.034
Black Caribbean,-0.075,-0.066
Mixed,-0.006,-0.034
White British,0,0
White other,0.018,-0.002
Other,-0.025,-0.063
