Age,Higher professional,Lower professional,Intermediate,Higher working,Lower working
25,35.97771469,40.79484878,46.28686021,48.60467705,59.71658767
26,34.71923526,39.58594127,43.69326057,45.73114377,54.4342061
27,33.79157313,38.7586716,41.74089702,43.59344557,50.42540125
28,33.13042845,38.23693886,40.28218259,42.01490963,47.3429406
29,32.69022542,37.96824558,39.2162656,40.87746645,44.96129565
30,32.43790017,37.91545097,38.47298107,40.09972022,43.12863368
31,32.34935935,38.05245703,38.00264464,39.62495136,41.7397308
32,32.40712924,38.36107073,37.76964105,39.41327583,40.72049606
33,32.59846295,38.82892953,37.74898522,39.43702181,40.01829487
34,32.91452134,39.44845064,37.92341549,39.67773051,39.59583485
35,33.34953971,40.21559449,38.28170348,40.12400772,39.42722885
36,33.90019581,41.12977726,38.81779084,40.77051892,39.49589325
37,34.56558304,42.19321195,39.52998789,41.61689164,39.7923517
38,35.34651142,43.41098319,40.42038791,42.66785383,40.31379892
39,36.24585852,44.79072827,41.4951531,43.93273243,41.06328275
40,37.26838583,46.34328091,42.76428829,45.42603688,42.05008898
41,38.42062379,48.08242671,44.24199877,47.16781743,43.28971088
42,39.71133833,50.02563016,45.94728478,49.18451858,44.80483226
43,41.15147051,52.1944878,47.90480645,51.51068835,46.62671814
44,42.75455499,54.61547576,50.14594055,54.19031573,48.79710499
