Socio-economic background,Disabled (£),Not disabled (£)
Higher professional,10.57448487,10.96482155
Lower professional,10.08017335,10.39768039
Intermediate,10.17359808,9.654074097
Higher working,9.08804944,9.556737874
Lower working,9.175456072,9.229506961
