Ethnicity,Lower working (£),Higher professional (£)
Bangladeshi,7.809172805,9.241487503
Chinese,9.00476009,10.6563627
Indian,9.348505994,11.06315656
Pakistani,8.321917187,9.848276585
Black African,9.283844474,10.98663518
Black Caribbean,9.125512316,10.79926263
Mixed,9.043175829,10.70182444
White British,9.240632146,10.93549709
White other,9.300222134,11.00601674
Other,8.80055361,10.41470182
