Highest qualification,Disabled (£),Not disabled (£)
Lower level (below CSE grade 1),8.447868664,8.472510578
"O level, GCSE and equivalent",7.641475717,9.749512286
A level and equivalent,9.223287773,10.08696143
Further education below degree,9.216314517,11.01264211
First degree,10.78569685,12.84793759
Higher degree,14.01666485,14.01206052
