Ethnicity,Degree (£),Non-degree (£)
Bangladeshi,9.659042143,9.054597785
Chinese,13.07241035,9.164276696
Indian,13.25948781,8.889731199
Pakistani,12.24896649,8.940610069
Black African,13.66802281,8.950603429
Black Caribbean,11.40751515,11.07047579
Mixed,13.40364475,10.17577657
White British,12.94659372,9.844562578
White other,13.06889683,8.842884984
Other,11.93493228,9.467842294
