Highest qualification,Men (£),Women (£)
Higher degree,14.62469595,13.47404972
First degree,13.21257723,12.17525133
Further education below degree,11.60478137,9.909053696
A level and equivalent,10.85608709,9.099396008
"O level, GCSE and equivalent",9.981613842,8.872366967
Lower level (below CSE grade 1),8.670453876,8.174519756
