"Year","Median hourly pay (£)"
2025,15.88
2024,15.835
2023,15.506
2022,15.254
2021,15.556
2020,15.536
2019,15.208
2018,14.737
2017,14.479
2016,14.415
2015,13.924
2014,13.717
2013,13.8
2012,13.8
2011,13.962
2010,14.811
2009,15.339
2008,15.257
2007,15.374
2006,15.258
2005,15.173
2004,15.184
2003,15.059
2002,14.93
2001,14.558
2000,14.026
1999,13.629
1998,13.277
1997,12.972
