"Year","Percentage (%)"
"2023/24",33.338
"2022/23",
"2021/22",33.93
"2020/21",41.256
"2019/20",40.7
"2018/19",34.351
"2017/18",37.827
"2016/17",41.123
"2015/16",33.335
"2014/15",35.365
"2013/14",38.561
