Highest qualification,Percentage difference relative to lower level (%)
Higher degree,62.86901378
First degree,53.95801443
Further education below degree,29.34616226
A level and equivalent,19.30898754
"O level, GCSE and equivalent",10.87907282
Lower level (below CSE grade 1),0
