"Region","Lower working (%)","Higher professional (%)"
"Bedfordshire and Hertfordshire",12.917,17.05
"Berkshire, Buckinghamshire and Oxfordshire",12.562,19.91
"Cheshire",13.993,15.46
"Cornwall and Isles of Scilly",19.298,8.707
"Cumbria",15.702,9.57
"Derbyshire and Nottinghamshire",15.202,13.828
"Devon",13.426,12.11
"Dorset and Somerset",15.417,11.315
"East Anglia",15.287,11.966
"East Wales",13.421,14.377
"East Yorkshire and Northern Lincolnshire",20.18,9.167
"Eastern Scotland",18.114,13.224
"Essex",10.97,14.264
"Gloucestershire, Wiltshire and Bath/Bristol area",11.762,15.22
"Greater Manchester",14.735,16.775
"Hampshire and Isle of Wight",12.395,13.917
"Herefordshire, Worcestershire and Warwickshire",13.574,13.46
"Highlands and Islands",19.391,6.277
"Inner London - East",10.949,25.049
"Inner London - West",8.725,33.606
"Kent",13.232,11.174
"Lancashire",15.403,9.766
"Leicestershire, Rutland and Northamptonshire",14.698,13.641
"Lincolnshire",14.805,8.133
"Merseyside",12.302,12.545
"North Eastern Scotland",22.192,10.387
"North Yorkshire",12.212,14.649
"Northern Ireland",18.093,13.488
"Northumberland, and Tyne and Wear",17.38,11.352
"Outer London - East and North East",12.559,16.478
"Outer London - South",11.962,22.538
"Outer London - West and North West",12.617,20.014
"Shropshire and Staffordshire",17.984,11.051
"South Yorkshire",18.376,11.798
"Southern Scotland",18.384,7.914
"Surrey, East and West Sussex",12.488,15.582
"Tees Valley and Durham",19.292,9.986
"West Central Scotland",21.359,14.31
"West Midlands",17.718,13.055
"West Wales and The Valleys",17.98,7.354
"West Yorkshire",17.504,13.382
