Ethnicity,Lower working (£),Higher professional (£)
Bangladeshi,9.769335911,13.77034839
Chinese,12.8795737,18.154378
Indian,11.86374916,16.72252451
Pakistani,10.95489803,15.44145517
Black African,11.97690146,16.88201811
Black Caribbean,11.39454288,16.0611557
Mixed,11.4929488,16.19986358
White British,10.97533422,15.47026095
White other,10.92406226,15.39799066
Other,10.92500832,15.39932418
