Region,Difference compared to average
Bedfordshire and Hertfordshire,0.251597586
"Berkshire, Buckinghamshire and Oxfordshire",0.608255872
Cheshire,0.979241591
Cornwall and Isles of Scilly,-0.984499673
Cumbria,1.20673726
Derbyshire and Nottinghamshire,0.870281519
Devon,0.532855665
Dorset and Somerset,0.820275327
East Anglia,0.509478999
East Wales,-0.77642924
East Yorkshire and Northern Lincolnshire,0.69916073
Eastern Scotland,-0.264741774
Essex,1.055413723
"Gloucestershire, Wiltshire and Bath/Bristol area",1.414562621
Greater Manchester,-1.380240574
Hampshire and Isle of Wight,0.805310064
"Herefordshire, Worcestershire and Warwickshire",0.006991706
Highlands and Islands,-1.734604583
Inner London - East,-0.40055489
Inner London - West,0.345570376
Kent,-0.162351255
Lancashire,0.135209361
"Leicestershire, Rutland and Northamptonshire",0.245936394
Lincolnshire,-0.510055536
Merseyside,-1.534129546
North Eastern Scotland,1.0956908
North Yorkshire,0.194305047
Northern Ireland,-3.762471765
Northumberland and Tyne and Wear,-1.370011863
Outer London - East and North East,1.406062544
Outer London - South,-0.10906978
Outer London - West and North West,1.064666184
Shropshire and Staffordshire,0.557192628
South Yorkshire,-1.990542891
Southern Scotland,-0.087740504
"Surrey, East and West Sussex",1.204873273
Tees Valley and Durham,1.13778918
West Central Scotland,-1.766888641
West Midlands,0.901257156
West Wales and The Valleys,-0.46694341
West Yorkshire,-0.747439681
