"Year","Median hourly pay (£)"
2024,15.26
2023,14.85
2022,14.691
2021,14.981
2020,14.962
2019,14.646
2018,14.193
2017,13.944
2016,13.882
2015,13.41
2014,13.21
2013,13.29
2012,13.29
2011,13.446
2010,14.264
2009,14.772
2008,14.693
2007,14.806
2006,14.694
2005,14.612
2004,14.622
2003,14.503
2002,14.378
2001,14.02
2000,13.507
1999,13.125
1998,12.787
1997,12.493
