Region,Percentage (%)
Bedfordshire and Hertfordshire,39.45921038
"Berkshire, Buckinghamshire and Oxfordshire",49.02865548
Cheshire,41.50626989
Cornwall and Isles of Scilly,27.49343893
Cumbria,26.87102753
Derbyshire and Nottinghamshire,30.0939511
Devon,33.35464374
Dorset and Somerset,32.64781699
East Anglia,31.53024492
East Wales,35.8140171
East Yorkshire and Northern Lincolnshire,24.85089584
Eastern Scotland,39.17104166
Essex,28.65338908
"Gloucestershire, Wiltshire and Bath/Bristol area",38.61156152
Greater Manchester,33.50004165
Hampshire and Isle of Wight,35.94220088
"Herefordshire, Worcestershire and Warwickshire",35.5436356
Highlands and Islands,32.78467631
Inner London - East,46.9514438
Inner London - West,65.25942162
Kent,32.43587665
Lancashire,27.93337454
"Leicestershire, Rutland and Northamptonshire",30.06181235
Lincolnshire,22.87787363
Merseyside,32.19010014
North Eastern Scotland,38.14682869
North Yorkshire,36.38160456
Northern Ireland,30.64700766
Northumberland and Tyne and Wear,29.10008326
Outer London - East and North East,41.123875
Outer London - South,49.03296583
Outer London - West and North West,50.56299151
Shropshire and Staffordshire,28.54490296
South Yorkshire,22.52591058
Southern Scotland,28.46017216
"Surrey, East and West Sussex",41.94336085
Tees Valley and Durham,24.5809928
West Central Scotland,32.08773601
West Midlands,27.93543492
West Wales and The Valleys,26.80811807
West Yorkshire,29.54880009
