"Socio-economic background","Disabled","","","Not disabled","",""
"","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)"
"Higher professional","80.977","79.682","80.127","92.003","92.819","92.425"
"Lower professional","70.459","77.907","75.109","92.504","93.442","92.972"
"Intermediate","67.295","71.248","69.702","90.896","93.135","91.922"
"Higher working","65.438","65.71","65.589","89.259","92.519","90.624"
"Lower working","51.541","56.962","54.574","84.154","88.992","86.243"
