"Region","Difference compared to average"
"Bedfordshire and Hertfordshire",1.657
"Berkshire, Buckinghamshire and Oxfordshire",-0.95
"Cheshire",2.74
"Cornwall and Isles of Scilly",-0.394
"Cumbria",1.351
"Derbyshire and Nottinghamshire",1.146
"Devon",0.696
"Dorset and Somerset",0.325
"East Anglia",1.117
"East Wales",-0.641
"East Yorkshire and Northern Lincolnshire",1.675
"Eastern Scotland",-0.857
"Essex",1.841
"Gloucestershire, Wiltshire and Bath/Bristol area",2.345
"Greater Manchester",-2.688
"Hampshire and Isle of Wight",-0.07
"Herefordshire, Worcestershire and Warwickshire",0.306
"Highlands and Islands",-4.557
"Inner London - East",-1.042
"Inner London - West",-0.042
"Kent",-1.113
"Lancashire",0.931
"Leicestershire, Rutland and Northamptonshire",0.24
"Lincolnshire",0.105
"Merseyside",-1.504
"North Eastern Scotland",2.433
"North Yorkshire",1.349
"Northern Ireland",-2.956
"Northumberland, and Tyne and Wear",-1.553
"Outer London - East and North East",2.795
"Outer London - South",-1.424
"Outer London - West and North West",2.022
"Shropshire and Staffordshire",0.778
"South Yorkshire",-2.051
"Southern Scotland",-0.715
"Surrey, East and West Sussex",0.967
"Tees Valley and Durham",-0.267
"West Central Scotland",-2.291
"West Midlands",1.152
"West Wales and The Valleys",-2.096
"West Yorkshire",-0.758
