"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","sex","Total",,,"2014-2025",89.275,86.752,91.227,490,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","sex","Total",,,"2014-2025",88.64,86.065,90.649,425,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","sex","Total",,,"2014-2025",88.078,85.646,90.213,466,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","sex","Total",,,"2014-2025",85.829,83.094,88.263,750,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","sex","Total",,,"2014-2025",86.826,84.141,89.093,732,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","sex","Total",,,"2014-2025",86.579,83.911,88.93,697,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","sex","Total",,,"2014-2025",86.586,83.808,89.015,636,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","sex","Total",,,"2014-2025",86.256,83.239,88.618,542,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","sex","Total",,,"2014-2025",86.93,83.967,89.436,469,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","sex","Total",,,"2014-2025",87.105,84.107,89.708,382,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","sex","Total",,,"2014-2025",88.171,85.048,90.691,311,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","sex","Total",,,"2014-2025",88.724,85.622,91.204,267,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher working","sex","Total",,,"2014-2025",87.14,84.014,89.809,293,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","sex","Total",,,"2014-2025",77.022,73.813,79.899,786,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","sex","Total",,,"2014-2025",78.143,75.029,80.992,756,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","sex","Total",,,"2014-2025",78.21,75.001,81.102,698,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","sex","Total",,,"2014-2025",78.687,75.462,81.568,666,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","sex","Total",,,"2014-2025",79.3,76.064,82.337,546,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","sex","Total",,,"2014-2025",79.075,75.694,82.032,505,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","sex","Total",,,"2014-2025",79.569,76.059,82.546,414,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","sex","Total",,,"2014-2025",78.155,74.648,81.226,365,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","sex","Total",,,"2014-2025",79.156,75.706,82.211,310,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","sex","Total",,,"2014-2025",79.859,76.49,82.786,340,"Average","3-year moving average","2023 to 2025"
