"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","sex","Women",,,"2014-2025",87.059,83.173,90.197,253,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","sex","Women",,,"2014-2025",86.62,82.706,89.745,223,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","sex","Women",,,"2014-2025",85.404,81.659,88.68,252,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","sex","Women",,,"2014-2025",78.468,74.062,82.7,406,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","sex","Women",,,"2014-2025",81.053,76.591,84.789,392,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","sex","Women",,,"2014-2025",80.565,76.158,84.493,374,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","sex","Women",,,"2014-2025",80.253,75.476,84.182,341,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","sex","Women",,,"2014-2025",80.344,75.622,84.503,291,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","sex","Women",,,"2014-2025",82.091,77.296,86.224,252,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","sex","Women",,,"2014-2025",82.31,77.424,86.661,201,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","sex","Women",,,"2014-2025",82.575,77.33,87.096,160,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","sex","Women",,,"2014-2025",82.41,76.727,86.553,138,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher working","sex","Women",,,"2014-2025",82.371,77.419,86.893,152,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","sex","Women",,,"2014-2025",66.703,61.789,71.379,430,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","sex","Women",,,"2014-2025",68.781,63.907,73.343,411,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","sex","Women",,,"2014-2025",69.534,64.449,74.101,381,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","sex","Women",,,"2014-2025",71.308,66.333,75.834,367,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","sex","Women",,,"2014-2025",73.97,68.926,78.478,305,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","sex","Women",,,"2014-2025",75.202,70.346,79.805,278,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","sex","Women",,,"2014-2025",76.285,70.954,80.604,225,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","sex","Women",,,"2014-2025",73.403,68.043,77.974,195,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","sex","Women",,,"2014-2025",74.281,68.878,78.687,167,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","sex","Women",,,"2014-2025",74.559,69.159,78.994,176,"Average","3-year moving average","2023 to 2025"
